EXP split_seed random_seed neurons soft lambda_in PICP_test MPIW_test RMSE R2 qd_loss NLL alpha loss data h_size bstraps ensemb
141 2 30 50 160.0 25.0 0.928 2.212 0.165 0.618 2.571 -0.372 0.05 qd_soft ~kin8nm [50] 1 1
142 2 30 50 200.0 5.0 0.879 1.835 0.163 0.63 2.572 -0.247 0.05 qd_soft ~kin8nm [50] 1 1
143 2 30 50 200.0 15.0 0.905 2.313 0.185 0.523 3.216 -0.201 0.05 qd_soft ~kin8nm [50] 1 1
144 2 30 50 200.0 25.0 0.916 2.268 0.174 0.577 3.12 -0.305 0.05 qd_soft ~kin8nm [50] 1 1
145 2 30 75 100.0 5.0 0.872 1.523 0.15 0.684 2.374 -0.532 0.05 qd_soft ~kin8nm [75] 1 1
146 2 30 75 100.0 15.0 0.92 1.869 0.151 0.683 2.272 -0.532 0.05 qd_soft ~kin8nm [75] 1 1
147 2 30 75 100.0 25.0 0.921 1.994 0.158 0.652 2.619 -0.414 0.05 qd_soft ~kin8nm [75] 1 1
148 2 30 75 160.0 5.0 0.878 1.614 0.153 0.674 2.354 -0.464 0.05 qd_soft ~kin8nm [75] 1 1
149 2 30 75 160.0 15.0 0.909 2.11 0.173 0.584 2.87 -0.287 0.05 qd_soft ~kin8nm [75] 1 1
150 2 30 75 160.0 25.0 0.924 2.301 0.174 0.58 2.788 -0.277 0.05 qd_soft ~kin8nm [75] 1 1
151 2 30 75 200.0 5.0 0.87 1.76 0.163 0.629 2.689 -0.296 0.05 qd_soft ~kin8nm [75] 1 1
152 2 30 75 200.0 15.0 0.901 2.209 0.174 0.579 3.265 -0.223 0.05 qd_soft ~kin8nm [75] 1 1
153 2 30 75 200.0 25.0 0.933 2.272 0.168 0.608 2.503 -0.32 0.05 qd_soft ~kin8nm [75] 1 1
154 2 30 100 100.0 5.0 0.877 1.442 0.15 0.686 2.185 -0.57 0.05 qd_soft ~kin8nm [100] 1 1
155 2 30 100 100.0 15.0 0.918 1.896 0.156 0.662 2.332 -0.491 0.05 qd_soft ~kin8nm [100] 1 1
156 2 30 100 100.0 25.0 0.918 1.957 0.154 0.668 2.683 -0.489 0.05 qd_soft ~kin8nm [100] 1 1
157 2 30 100 160.0 5.0 0.867 1.59 0.155 0.664 2.553 -0.454 0.05 qd_soft ~kin8nm [100] 1 1
158 2 30 100 160.0 15.0 0.896 2.079 0.168 0.606 3.351 -0.169 0.05 qd_soft ~kin8nm [100] 1 1
159 2 30 100 160.0 25.0 0.932 2.171 0.167 0.61 2.425 -0.321 0.05 qd_soft ~kin8nm [100] 1 1
160 2 30 100 200.0 5.0 0.879 1.646 0.15 0.688 2.366 -0.441 0.05 qd_soft ~kin8nm [100] 1 1
161 2 30 100 200.0 15.0 0.91 2.166 0.17 0.595 2.897 -0.28 0.05 qd_soft ~kin8nm [100] 1 1
162 2 30 100 200.0 25.0 0.935 2.231 0.169 0.6 2.393 -0.363 0.05 qd_soft ~kin8nm [100] 1 1
163 3 10 50 100.0 5.0 0.901 1.638 0.143 0.707 1.976 -0.559 0.05 qd_soft ~kin8nm [50] 1 1
164 3 10 50 100.0 15.0 0.927 2.002 0.155 0.654 2.242 -0.459 0.05 qd_soft ~kin8nm [50] 1 1
165 3 10 50 100.0 25.0 0.937 2.141 0.159 0.637 2.277 -0.453 0.05 qd_soft ~kin8nm [50] 1 1
166 3 10 50 160.0 5.0 0.909 1.87 0.158 0.641 2.129 -0.37 0.05 qd_soft ~kin8nm [50] 1 1
167 3 10 50 160.0 15.0 0.937 2.164 0.164 0.613 2.26 -0.362 0.05 qd_soft ~kin8nm [50] 1 1
168 3 10 50 160.0 25.0 0.952 2.41 0.169 0.59 2.426 -0.35 0.05 qd_soft ~kin8nm [50] 1 1
169 3 10 50 200.0 5.0 0.899 1.88 0.159 0.636 2.268 -0.36 0.05 qd_soft ~kin8nm [50] 1 1
170 3 10 50 200.0 15.0 0.926 2.223 0.167 0.599 2.499 -0.315 0.05 qd_soft ~kin8nm [50] 1 1
171 3 10 50 200.0 25.0 0.94 2.502 0.182 0.524 2.59 -0.269 0.05 qd_soft ~kin8nm [50] 1 1
172 3 10 75 100.0 5.0 0.904 1.493 0.137 0.731 1.789 -0.61 0.05 qd_soft ~kin8nm [75] 1 1
173 3 10 75 100.0 15.0 0.927 1.874 0.148 0.686 2.103 -0.53 0.05 qd_soft ~kin8nm [75] 1 1
174 3 10 75 100.0 25.0 0.954 2.097 0.155 0.657 2.109 -0.474 0.05 qd_soft ~kin8nm [75] 1 1
175 3 10 75 160.0 5.0 0.904 1.669 0.144 0.702 1.978 -0.516 0.05 qd_soft ~kin8nm [75] 1 1
176 3 10 75 160.0 15.0 0.923 2.142 0.166 0.606 2.465 -0.36 0.05 qd_soft ~kin8nm [75] 1 1
177 3 10 75 160.0 25.0 0.93 2.285 0.166 0.607 2.592 -0.339 0.05 qd_soft ~kin8nm [75] 1 1
178 3 10 75 200.0 5.0 0.898 1.79 0.151 0.673 2.198 -0.449 0.05 qd_soft ~kin8nm [75] 1 1
179 3 10 75 200.0 15.0 0.928 2.201 0.169 0.59 2.427 -0.341 0.05 qd_soft ~kin8nm [75] 1 1
180 3 10 75 200.0 25.0 0.949 2.4 0.17 0.587 2.419 -0.346 0.05 qd_soft ~kin8nm [75] 1 1
181 3 10 100 100.0 5.0 0.899 1.432 0.128 0.764 1.805 -0.68 0.05 qd_soft ~kin8nm [100] 1 1
182 3 10 100 100.0 15.0 0.927 1.931 0.151 0.673 2.172 -0.483 0.05 qd_soft ~kin8nm [100] 1 1
183 3 10 100 100.0 25.0 0.939 1.983 0.149 0.681 2.075 -0.524 0.05 qd_soft ~kin8nm [100] 1 1
184 3 10 100 160.0 5.0 0.904 1.634 0.148 0.686 1.927 -0.577 0.05 qd_soft ~kin8nm [100] 1 1
185 3 10 100 160.0 15.0 0.932 2.038 0.158 0.642 2.19 -0.427 0.05 qd_soft ~kin8nm [100] 1 1
186 3 10 100 160.0 25.0 0.939 2.18 0.163 0.618 2.277 -0.41 0.05 qd_soft ~kin8nm [100] 1 1
187 3 10 100 200.0 5.0 0.896 1.687 0.151 0.672 2.096 -0.418 0.05 qd_soft ~kin8nm [100] 1 1
188 3 10 100 200.0 15.0 0.939 2.064 0.158 0.64 2.121 -0.441 0.05 qd_soft ~kin8nm [100] 1 1
189 3 10 100 200.0 25.0 0.95 2.33 0.168 0.597 2.347 -0.357 0.05 qd_soft ~kin8nm [100] 1 1
190 3 20 50 100.0 5.0 0.904 1.518 0.136 0.733 1.822 -0.662 0.05 qd_soft ~kin8nm [50] 1 1
191 3 20 50 100.0 15.0 0.91 1.974 0.152 0.671 2.704 -0.45 0.05 qd_soft ~kin8nm [50] 1 1
192 3 20 50 100.0 25.0 0.945 2.147 0.157 0.647 2.175 -0.478 0.05 qd_soft ~kin8nm [50] 1 1
193 3 20 50 160.0 5.0 0.896 1.705 0.149 0.68 2.118 -0.481 0.05 qd_soft ~kin8nm [50] 1 1
194 3 20 50 160.0 15.0 0.933 2.149 0.16 0.634 2.3 -0.403 0.05 qd_soft ~kin8nm [50] 1 1
195 3 20 50 160.0 25.0 0.934 2.355 0.168 0.597 2.567 -0.314 0.05 qd_soft ~kin8nm [50] 1 1
196 3 20 50 200.0 5.0 0.882 1.912 0.166 0.606 2.61 -0.253 0.05 qd_soft ~kin8nm [50] 1 1
197 3 20 50 200.0 15.0 0.929 2.198 0.164 0.614 2.41 -0.33 0.05 qd_soft ~kin8nm [50] 1 1
198 3 20 50 200.0 25.0 0.946 2.428 0.171 0.581 2.46 -0.325 0.05 qd_soft ~kin8nm [50] 1 1
199 3 20 75 100.0 5.0 0.895 1.428 0.131 0.755 1.846 -0.692 0.05 qd_soft ~kin8nm [75] 1 1
200 3 20 75 100.0 15.0 0.939 1.865 0.149 0.681 1.918 -0.52 0.05 qd_soft ~kin8nm [75] 1 1
201 3 20 75 100.0 25.0 0.943 1.944 0.143 0.705 1.991 -0.539 0.05 qd_soft ~kin8nm [75] 1 1
202 3 20 75 160.0 5.0 0.885 1.676 0.149 0.68 2.272 -0.471 0.05 qd_soft ~kin8nm [75] 1 1
