EXP split_seed random_seed neurons soft lambda_in PICP_test MPIW_test RMSE R2 qd_loss NLL alpha loss data h_size bstraps ensemb
96 2 10 75 160.0 25.0 0.968 0.873 2.909 0.95 0.885 2.579 0.05 qd_soft ~yacht [75] 1 1
97 2 10 75 200.0 5.0 0.968 0.321 1.427 0.988 0.317 1.308 0.05 qd_soft ~yacht [75] 1 1
98 2 10 75 200.0 15.0 0.968 0.664 2.636 0.959 0.654 2.091 0.05 qd_soft ~yacht [75] 1 1
99 2 10 75 200.0 25.0 0.935 1.298 3.307 0.935 1.353 2.809 0.05 qd_soft ~yacht [75] 1 1
100 2 10 100 100.0 5.0 1.0 0.278 0.598 0.998 0.278 1.045 0.05 qd_soft ~yacht [100] 1 1
101 2 10 100 100.0 15.0 1.0 1.021 3.396 0.931 1.021 2.536 0.05 qd_soft ~yacht [100] 1 1
102 2 10 100 100.0 25.0 0.871 1.271 6.075 0.781 2.29 3.682 0.05 qd_soft ~yacht [100] 1 1
103 2 10 100 160.0 5.0 1.0 0.402 0.976 0.994 0.402 1.469 0.05 qd_soft ~yacht [100] 1 1
104 2 10 100 160.0 15.0 1.0 0.636 1.576 0.985 0.636 1.918 0.05 qd_soft ~yacht [100] 1 1
105 2 10 100 160.0 25.0 0.968 0.907 3.333 0.934 0.903 2.506 0.05 qd_soft ~yacht [100] 1 1
106 2 10 100 200.0 5.0 0.935 0.411 2.006 0.976 0.414 1.867 0.05 qd_soft ~yacht [100] 1 1
107 2 10 100 200.0 15.0 1.0 0.826 2.584 0.96 0.826 2.187 0.05 qd_soft ~yacht [100] 1 1
108 2 10 100 200.0 25.0 0.903 0.898 3.333 0.934 1.226 2.647 0.05 qd_soft ~yacht [100] 1 1
109 2 20 50 100.0 5.0 1.0 0.325 1.064 0.993 0.325 1.399 0.05 qd_soft ~yacht [50] 1 1
110 2 20 50 100.0 15.0 1.0 0.456 1.639 0.984 0.456 1.824 0.05 qd_soft ~yacht [50] 1 1
111 2 20 50 100.0 25.0 1.0 0.607 2.114 0.973 0.607 1.93 0.05 qd_soft ~yacht [50] 1 1
112 2 20 50 160.0 5.0 0.968 0.379 1.439 0.988 0.38 1.539 0.05 qd_soft ~yacht [50] 1 1
113 2 20 50 160.0 15.0 0.935 0.553 2.536 0.962 0.555 1.922 0.05 qd_soft ~yacht [50] 1 1
114 2 20 50 160.0 25.0 0.903 0.625 2.888 0.95 0.938 6.108 0.05 qd_soft ~yacht [50] 1 1
115 2 20 50 200.0 5.0 0.903 0.48 3.816 0.913 0.528 2.251 0.05 qd_soft ~yacht [50] 1 1
116 2 20 50 200.0 15.0 0.871 0.884 4.084 0.901 1.404 2.757 0.05 qd_soft ~yacht [50] 1 1
117 2 20 50 200.0 25.0 0.968 0.946 2.909 0.95 0.934 2.376 0.05 qd_soft ~yacht [50] 1 1
118 2 20 75 100.0 5.0 1.0 0.247 0.869 0.996 0.247 0.996 0.05 qd_soft ~yacht [75] 1 1
119 2 20 75 100.0 15.0 0.968 0.284 1.116 0.993 0.29 1.298 0.05 qd_soft ~yacht [75] 1 1
120 2 20 75 100.0 25.0 0.968 0.404 1.722 0.982 0.389 1.526 0.05 qd_soft ~yacht [75] 1 1
121 2 20 75 160.0 5.0 0.935 0.513 1.783 0.981 0.547 1.815 0.05 qd_soft ~yacht [75] 1 1
122 2 20 75 160.0 15.0 0.935 0.599 1.825 0.98 0.648 2.233 0.05 qd_soft ~yacht [75] 1 1
123 2 20 75 160.0 25.0 0.903 0.942 2.729 0.956 1.288 2.723 0.05 qd_soft ~yacht [75] 1 1
124 2 20 75 200.0 5.0 0.935 0.399 2.664 0.958 0.384 1.653 0.05 qd_soft ~yacht [75] 1 1
125 2 20 75 200.0 15.0 0.935 0.496 2.173 0.972 0.504 1.846 0.05 qd_soft ~yacht [75] 1 1
126 2 20 75 200.0 25.0 1.0 1.047 2.416 0.965 1.047 2.364 0.05 qd_soft ~yacht [75] 1 1
