EXP split_seed random_seed neurons soft lambda_in PICP_test MPIW_test RMSE R2 qd_loss NLL alpha loss data h_size bstraps ensemb
72 1 30 75 200.0 25.0 0.942 2.623 5.595 0.165 2.73 3.258 0.05 qd_soft ~protein [75] 1 1
73 1 30 100 100.0 5.0 0.905 2.215 5.193 0.281 2.914 7.274 0.05 qd_soft ~protein [100] 1 1
74 1 30 100 100.0 15.0 0.929 2.397 5.338 0.24 2.836 3.47 0.05 qd_soft ~protein [100] 1 1
75 1 30 100 100.0 25.0 0.944 2.478 5.381 0.228 2.55 3.23 0.05 qd_soft ~protein [100] 1 1
76 1 30 100 160.0 5.0 0.9 2.233 5.244 0.267 3.085 3.632 0.05 qd_soft ~protein [100] 1 1
77 1 30 100 160.0 15.0 0.933 2.45 5.407 0.221 2.748 476.261 0.05 qd_soft ~protein [100] 1 1
78 1 30 100 160.0 25.0 0.943 2.519 5.497 0.194 2.613 3.26 0.05 qd_soft ~protein [100] 1 1
79 1 30 100 200.0 5.0 0.902 2.221 5.248 0.266 3.001 3.567 0.05 qd_soft ~protein [100] 1 1
80 1 30 100 200.0 15.0 0.932 2.476 5.53 0.185 2.828 4.292 0.05 qd_soft ~protein [100] 1 1
81 1 30 100 200.0 25.0 0.945 2.548 5.474 0.201 2.59 3.227 0.05 qd_soft ~protein [100] 1 1
82 2 10 50 100.0 5.0 0.912 2.244 5.24 0.251 2.732 3.441 0.05 qd_soft ~protein [50] 1 1
83 2 10 50 100.0 15.0 0.94 2.427 5.313 0.23 2.54 29.306 0.05 qd_soft ~protein [50] 1 1
84 2 10 50 100.0 25.0 0.948 2.528 5.374 0.212 2.536 3.211 0.05 qd_soft ~protein [50] 1 1
85 2 10 50 160.0 5.0 0.909 2.255 5.312 0.231 2.825 3.481 0.05 qd_soft ~protein [50] 1 1
86 2 10 50 160.0 15.0 0.941 2.452 5.411 0.202 2.536 3.717 0.05 qd_soft ~protein [50] 1 1
87 2 10 50 160.0 25.0 0.95 2.588 5.545 0.161 2.592 3.258 0.05 qd_soft ~protein [50] 1 1
88 2 10 50 200.0 5.0 0.91 2.285 5.323 0.227 2.85 5.467 0.05 qd_soft ~protein [50] 1 1
89 2 10 50 200.0 15.0 0.94 2.501 5.527 0.167 2.602 3.335 0.05 qd_soft ~protein [50] 1 1
90 2 10 50 200.0 25.0 0.947 2.579 5.593 0.147 2.596 3.254 0.05 qd_soft ~protein [50] 1 1
91 2 10 75 100.0 5.0 0.913 2.196 5.162 0.274 2.672 8.016 0.05 qd_soft ~protein [75] 1 1
92 2 10 75 100.0 15.0 0.941 2.436 5.399 0.205 2.534 3.259 0.05 qd_soft ~protein [75] 1 1
93 2 10 75 100.0 25.0 0.951 2.539 5.505 0.174 2.543 3.255 0.05 qd_soft ~protein [75] 1 1
94 2 10 75 160.0 5.0 0.911 2.259 5.278 0.24 2.781 4.07 0.05 qd_soft ~protein [75] 1 1
95 2 10 75 160.0 15.0 0.941 2.455 5.435 0.194 2.537 3.276 0.05 qd_soft ~protein [75] 1 1
96 2 10 75 160.0 25.0 0.948 2.529 5.503 0.174 2.541 3.537 0.05 qd_soft ~protein [75] 1 1
97 2 10 75 200.0 5.0 0.91 2.246 5.225 0.256 2.785 3.361 0.05 qd_soft ~protein [75] 1 1
98 2 10 75 200.0 15.0 0.941 2.498 5.464 0.186 2.6 3.726 0.05 qd_soft ~protein [75] 1 1
99 2 10 75 200.0 25.0 0.95 2.583 5.569 0.154 2.586 3.272 0.05 qd_soft ~protein [75] 1 1
100 2 10 100 100.0 5.0 0.916 2.201 5.17 0.271 2.598 5.644 0.05 qd_soft ~protein [100] 1 1
101 2 10 100 100.0 15.0 0.94 2.425 5.349 0.22 2.536 3.98 0.05 qd_soft ~protein [100] 1 1
102 2 10 100 100.0 25.0 0.948 2.482 5.408 0.202 2.494 3.233 0.05 qd_soft ~protein [100] 1 1
103 2 10 100 160.0 5.0 0.91 2.232 5.18 0.268 2.776 4.957 0.05 qd_soft ~protein [100] 1 1
104 2 10 100 160.0 15.0 0.938 2.444 5.411 0.202 2.591 85.076 0.05 qd_soft ~protein [100] 1 1
105 2 10 100 160.0 25.0 0.949 2.57 5.515 0.171 2.576 3.297 0.05 qd_soft ~protein [100] 1 1
106 2 10 100 200.0 5.0 0.91 2.242 5.356 0.218 2.778 5.113 0.05 qd_soft ~protein [100] 1 1
107 2 10 100 200.0 15.0 0.94 2.449 5.419 0.199 2.56 5.332 0.05 qd_soft ~protein [100] 1 1
108 2 10 100 200.0 25.0 0.947 2.564 5.53 0.166 2.585 3.236 0.05 qd_soft ~protein [100] 1 1
109 2 20 50 100.0 5.0 0.909 2.223 5.184 0.267 2.797 3.545 0.05 qd_soft ~protein [50] 1 1
110 2 20 50 100.0 15.0 0.939 2.447 5.364 0.215 2.588 3.295 0.05 qd_soft ~protein [50] 1 1
111 2 20 50 100.0 25.0 0.949 2.536 5.519 0.17 2.542 3.246 0.05 qd_soft ~protein [50] 1 1
112 2 20 50 160.0 5.0 0.906 2.253 5.211 0.26 2.919 3.327 0.05 qd_soft ~protein [50] 1 1
113 2 20 50 160.0 15.0 0.941 2.481 5.501 0.175 2.578 3.277 0.05 qd_soft ~protein [50] 1 1
114 2 20 50 160.0 25.0 0.95 2.595 5.594 0.147 2.6 3.279 0.05 qd_soft ~protein [50] 1 1
115 2 20 50 200.0 5.0 0.909 2.269 5.307 0.232 2.841 3.401 0.05 qd_soft ~protein [50] 1 1
116 2 20 50 200.0 15.0 0.941 2.516 5.587 0.149 2.605 3.314 0.05 qd_soft ~protein [50] 1 1
117 2 20 50 200.0 25.0 0.951 2.619 5.614 0.141 2.623 3.468 0.05 qd_soft ~protein [50] 1 1
118 2 20 75 100.0 5.0 0.907 2.209 5.185 0.267 2.83 3.375 0.05 qd_soft ~protein [75] 1 1
