EXP split_seed random_seed neurons soft lambda_in PICP_test MPIW_test RMSE R2 qd_loss NLL alpha loss data h_size bstraps ensemb
78 1 30 100 160.0 25.0 0.944 2.29 0.567 0.354 2.326 0.963 0.05 qd_soft ~wine [100] 1 1
79 1 30 100 200.0 5.0 0.875 1.729 0.585 0.311 2.111 3.424 0.05 qd_soft ~wine [100] 1 1
80 1 30 100 200.0 15.0 0.9 2.043 0.564 0.361 2.54 1.844 0.05 qd_soft ~wine [100] 1 1
81 1 30 100 200.0 25.0 0.944 2.326 0.55 0.391 2.357 1.014 0.05 qd_soft ~wine [100] 1 1
82 2 10 50 100.0 5.0 0.9 1.855 0.65 0.153 2.023 4.479 0.05 qd_soft ~wine [50] 1 1
83 2 10 50 100.0 15.0 0.919 2.196 0.647 0.161 2.398 1.755 0.05 qd_soft ~wine [50] 1 1
84 2 10 50 100.0 25.0 0.9 2.375 0.637 0.187 3.194 1.348 0.05 qd_soft ~wine [50] 1 1
85 2 10 50 160.0 5.0 0.881 1.889 0.647 0.16 2.197 3.473 0.05 qd_soft ~wine [50] 1 1
86 2 10 50 160.0 15.0 0.912 2.228 0.634 0.195 2.511 38.316 0.05 qd_soft ~wine [50] 1 1
87 2 10 50 160.0 25.0 0.919 2.551 0.636 0.187 2.909 1.745 0.05 qd_soft ~wine [50] 1 1
88 2 10 50 200.0 5.0 0.9 1.946 0.643 0.171 2.12 2.278 0.05 qd_soft ~wine [50] 1 1
89 2 10 50 200.0 15.0 0.906 2.309 0.649 0.154 2.683 68.208 0.05 qd_soft ~wine [50] 1 1
90 2 10 50 200.0 25.0 0.938 2.671 0.644 0.168 2.748 1.126 0.05 qd_soft ~wine [50] 1 1
91 2 10 75 100.0 5.0 0.888 1.857 0.635 0.191 2.102 1.917 0.05 qd_soft ~wine [75] 1 1
92 2 10 75 100.0 15.0 0.912 2.076 0.643 0.171 2.353 2.427 0.05 qd_soft ~wine [75] 1 1
93 2 10 75 100.0 25.0 0.931 2.294 0.631 0.201 2.395 1.084 0.05 qd_soft ~wine [75] 1 1
94 2 10 75 160.0 5.0 0.856 1.837 0.66 0.125 2.403 2.377 0.05 qd_soft ~wine [75] 1 1
95 2 10 75 160.0 15.0 0.912 2.193 0.647 0.16 2.48 2.187 0.05 qd_soft ~wine [75] 1 1
96 2 10 75 160.0 25.0 0.931 2.527 0.637 0.187 2.66 1.431 0.05 qd_soft ~wine [75] 1 1
97 2 10 75 200.0 5.0 0.888 1.941 0.655 0.14 2.212 38.263 0.05 qd_soft ~wine [75] 1 1
98 2 10 75 200.0 15.0 0.9 2.208 0.632 0.198 2.7 1.89 0.05 qd_soft ~wine [75] 1 1
99 2 10 75 200.0 25.0 0.931 2.556 0.652 0.148 2.67 1.082 0.05 qd_soft ~wine [75] 1 1
100 2 10 100 100.0 5.0 0.875 1.66 0.643 0.17 2.018 3.684 0.05 qd_soft ~wine [100] 1 1
101 2 10 100 100.0 15.0 0.894 1.998 0.65 0.152 2.601 3.395 0.05 qd_soft ~wine [100] 1 1
102 2 10 100 100.0 25.0 0.925 2.352 0.65 0.153 2.587 1.766 0.05 qd_soft ~wine [100] 1 1
103 2 10 100 160.0 5.0 0.85 1.771 0.654 0.142 2.417 9.636 0.05 qd_soft ~wine [100] 1 1
104 2 10 100 160.0 15.0 0.919 2.156 0.637 0.187 2.336 1.425 0.05 qd_soft ~wine [100] 1 1
105 2 10 100 160.0 25.0 0.888 2.267 0.666 0.111 3.491 1.196 0.05 qd_soft ~wine [100] 1 1
106 2 10 100 200.0 5.0 0.85 1.949 0.643 0.17 2.607 1.996 0.05 qd_soft ~wine [100] 1 1
107 2 10 100 200.0 15.0 0.881 2.196 0.633 0.196 3.134 4.833 0.05 qd_soft ~wine [100] 1 1
108 2 10 100 200.0 25.0 0.919 2.623 0.652 0.147 2.934 1.121 0.05 qd_soft ~wine [100] 1 1
