EXP split_seed random_seed neurons soft lambda_in PICP_test MPIW_test RMSE R2 qd_loss NLL alpha loss data h_size bstraps ensemb
86 2 10 50 160.0 15.0 0.845 0.776 5.068 0.884 2.484 3.275 0.05 qd_soft ~concrete [50] 1 1
87 2 10 50 160.0 25.0 0.864 0.904 5.251 0.875 2.779 3.038 0.05 qd_soft ~concrete [50] 1 1
88 2 10 50 200.0 5.0 0.845 0.71 5.369 0.869 1.281 5.303 0.05 qd_soft ~concrete [50] 1 1
89 2 10 50 200.0 15.0 0.864 0.884 5.571 0.859 2.018 3.242 0.05 qd_soft ~concrete [50] 1 1
90 2 10 50 200.0 25.0 0.942 1.022 5.618 0.857 1.042 3.061 0.05 qd_soft ~concrete [50] 1 1
91 2 10 75 100.0 5.0 0.874 0.631 4.247 0.918 0.93 2.942 0.05 qd_soft ~concrete [75] 1 1
92 2 10 75 100.0 15.0 0.825 0.767 5.209 0.877 3.137 3.191 0.05 qd_soft ~concrete [75] 1 1
93 2 10 75 100.0 25.0 0.942 0.951 4.903 0.891 0.979 2.965 0.05 qd_soft ~concrete [75] 1 1
94 2 10 75 160.0 5.0 0.748 0.665 4.714 0.899 2.76 3.376 0.05 qd_soft ~concrete [75] 1 1
95 2 10 75 160.0 15.0 0.864 0.831 5.342 0.871 1.944 3.177 0.05 qd_soft ~concrete [75] 1 1
96 2 10 75 160.0 25.0 0.913 0.878 5.19 0.878 1.239 3.087 0.05 qd_soft ~concrete [75] 1 1
97 2 10 75 200.0 5.0 0.825 0.658 4.708 0.9 1.457 3.199 0.05 qd_soft ~concrete [75] 1 1
98 2 10 75 200.0 15.0 0.922 0.805 4.883 0.892 0.927 2.947 0.05 qd_soft ~concrete [75] 1 1
99 2 10 75 200.0 25.0 0.922 0.987 5.304 0.873 1.184 3.081 0.05 qd_soft ~concrete [75] 1 1
100 2 10 100 100.0 5.0 0.816 0.609 4.283 0.917 1.54 3.048 0.05 qd_soft ~concrete [100] 1 1
101 2 10 100 100.0 15.0 0.932 0.805 4.829 0.894 0.848 2.901 0.05 qd_soft ~concrete [100] 1 1
102 2 10 100 100.0 25.0 0.913 0.955 5.322 0.872 1.321 3.113 0.05 qd_soft ~concrete [100] 1 1
103 2 10 100 160.0 5.0 0.757 0.626 4.938 0.89 2.534 6.246 0.05 qd_soft ~concrete [100] 1 1
104 2 10 100 160.0 15.0 0.922 0.838 4.898 0.891 0.964 2.981 0.05 qd_soft ~concrete [100] 1 1
105 2 10 100 160.0 25.0 0.874 0.868 5.35 0.87 2.354 3.174 0.05 qd_soft ~concrete [100] 1 1
106 2 10 100 200.0 5.0 0.699 14.27 140.125 -87.93 19.091 10.05 0.05 qd_soft ~concrete [100] 1 1
107 2 10 100 200.0 15.0 0.932 0.882 5.001 0.887 0.92 2.895 0.05 qd_soft ~concrete [100] 1 1
108 2 10 100 200.0 25.0 0.903 0.939 5.202 0.877 1.516 3.031 0.05 qd_soft ~concrete [100] 1 1
109 2 20 50 100.0 5.0 0.796 0.647 4.718 0.899 1.855 4.606 0.05 qd_soft ~concrete [50] 1 1
110 2 20 50 100.0 15.0 0.835 0.794 5.126 0.881 2.822 3.331 0.05 qd_soft ~concrete [50] 1 1
111 2 20 50 100.0 25.0 0.864 0.807 5.259 0.875 2.7 3.685 0.05 qd_soft ~concrete [50] 1 1
112 2 20 50 160.0 5.0 0.806 0.717 6.075 0.833 1.766 3.933 0.05 qd_soft ~concrete [50] 1 1
113 2 20 50 160.0 15.0 0.903 0.919 5.352 0.87 1.256 3.044 0.05 qd_soft ~concrete [50] 1 1
114 2 20 50 160.0 25.0 0.903 0.855 5.242 0.876 1.405 3.055 0.05 qd_soft ~concrete [50] 1 1
115 2 20 50 200.0 5.0 0.738 0.702 5.42 0.867 2.999 3.399 0.05 qd_soft ~concrete [50] 1 1
116 2 20 50 200.0 15.0 0.913 0.87 5.611 0.857 1.079 3.08 0.05 qd_soft ~concrete [50] 1 1
117 2 20 50 200.0 25.0 0.942 0.946 5.407 0.868 0.965 3.046 0.05 qd_soft ~concrete [50] 1 1
118 2 20 75 100.0 5.0 0.786 0.619 4.639 0.903 1.988 3.395 0.05 qd_soft ~concrete [75] 1 1
119 2 20 75 100.0 15.0 0.932 0.904 5.055 0.884 0.952 2.962 0.05 qd_soft ~concrete [75] 1 1
120 2 20 75 100.0 25.0 0.864 0.817 5.065 0.884 2.682 2.986 0.05 qd_soft ~concrete [75] 1 1
121 2 20 75 160.0 5.0 0.757 0.649 4.72 0.899 2.556 3.206 0.05 qd_soft ~concrete [75] 1 1
122 2 20 75 160.0 15.0 0.854 0.789 5.171 0.879 2.185 3.075 0.05 qd_soft ~concrete [75] 1 1
123 2 20 75 160.0 25.0 0.903 0.921 5.357 0.87 1.488 3.087 0.05 qd_soft ~concrete [75] 1 1
124 2 20 75 200.0 5.0 0.825 0.719 4.975 0.888 1.505 3.222 0.05 qd_soft ~concrete [75] 1 1
125 2 20 75 200.0 15.0 0.913 0.863 5.033 0.885 1.07 2.945 0.05 qd_soft ~concrete [75] 1 1
126 2 20 75 200.0 25.0 0.874 0.881 5.098 0.882 2.366 3.08 0.05 qd_soft ~concrete [75] 1 1
127 2 20 100 100.0 5.0 0.786 0.632 4.762 0.897 1.996 3.318 0.05 qd_soft ~concrete [100] 1 1
128 2 20 100 100.0 15.0 0.874 0.761 4.975 0.888 1.652 3.087 0.05 qd_soft ~concrete [100] 1 1
129 2 20 100 100.0 25.0 0.913 0.854 4.721 0.899 1.219 2.867 0.05 qd_soft ~concrete [100] 1 1
130 2 20 100 160.0 5.0 0.825 0.663 5.085 0.883 1.452 3.418 0.05 qd_soft ~concrete [100] 1 1
131 2 20 100 160.0 15.0 0.864 0.86 5.167 0.879 1.999 3.241 0.05 qd_soft ~concrete [100] 1 1
132 2 20 100 160.0 25.0 0.913 0.948 5.156 0.88 1.301 2.956 0.05 qd_soft ~concrete [100] 1 1
133 2 20 100 200.0 5.0 0.816 0.693 4.945 0.889 1.609 3.249 0.05 qd_soft ~concrete [100] 1 1
134 2 20 100 200.0 15.0 0.883 0.888 5.717 0.852 1.561 3.234 0.05 qd_soft ~concrete [100] 1 1
135 2 20 100 200.0 25.0 0.903 0.888 5.257 0.875 1.456 3.043 0.05 qd_soft ~concrete [100] 1 1
136 2 30 50 100.0 5.0 0.796 0.625 4.785 0.896 1.83 3.466 0.05 qd_soft ~concrete [50] 1 1
137 2 30 50 100.0 15.0 0.922 0.926 5.092 0.883 1.043 3.045 0.05 qd_soft ~concrete [50] 1 1
138 2 30 50 100.0 25.0 0.864 0.81 5.35 0.87 2.672 3.145 0.05 qd_soft ~concrete [50] 1 1
139 2 30 50 160.0 5.0 0.835 0.707 5.241 0.876 1.365 3.193 0.05 qd_soft ~concrete [50] 1 1
140 2 30 50 160.0 15.0 0.864 0.783 5.308 0.872 1.922 3.363 0.05 qd_soft ~concrete [50] 1 1
141 2 30 50 160.0 25.0 0.922 0.906 5.179 0.878 1.099 3.002 0.05 qd_soft ~concrete [50] 1 1
142 2 30 50 200.0 5.0 0.786 0.699 5.099 0.882 2.064 3.715 0.05 qd_soft ~concrete [50] 1 1
143 2 30 50 200.0 15.0 0.893 0.861 5.032 0.885 1.355 3.043 0.05 qd_soft ~concrete [50] 1 1
144 2 30 50 200.0 25.0 0.942 0.958 5.275 0.874 0.982 2.99 0.05 qd_soft ~concrete [50] 1 1
145 2 30 75 100.0 5.0 0.816 0.677 4.544 0.906 1.614 3.256 0.05 qd_soft ~concrete [75] 1 1
146 2 30 75 100.0 15.0 0.854 0.776 4.871 0.893 2.176 3.026 0.05 qd_soft ~concrete [75] 1 1
147 2 30 75 100.0 25.0 0.903 0.824 5.112 0.882 1.394 3.057 0.05 qd_soft ~concrete [75] 1 1
148 2 30 75 160.0 5.0 0.796 0.649 4.847 0.894 1.847 3.171 0.05 qd_soft ~concrete [75] 1 1
149 2 30 75 160.0 15.0 0.893 0.792 4.969 0.888 1.272 2.924 0.05 qd_soft ~concrete [75] 1 1
150 2 30 75 160.0 25.0 0.951 0.913 5.225 0.876 0.908 3.025 0.05 qd_soft ~concrete [75] 1 1
151 2 30 75 200.0 5.0 0.835 0.731 4.807 0.895 1.41 3.105 0.05 qd_soft ~concrete [75] 1 1
152 2 30 75 200.0 15.0 0.932 0.912 4.967 0.888 0.958 2.938 0.05 qd_soft ~concrete [75] 1 1
153 2 30 75 200.0 25.0 0.922 0.977 5.206 0.877 1.172 3.053 0.05 qd_soft ~concrete [75] 1 1
154 2 30 100 100.0 5.0 0.796 0.608 4.791 0.896 1.812 16.407 0.05 qd_soft ~concrete [100] 1 1
155 2 30 100 100.0 15.0 0.874 0.76 5.026 0.886 1.639 3.127 0.05 qd_soft ~concrete [100] 1 1
156 2 30 100 100.0 25.0 0.903 0.839 5.471 0.864 1.4 3.151 0.05 qd_soft ~concrete [100] 1 1
157 2 30 100 160.0 5.0 0.893 0.772 4.963 0.888 0.935 3.076 0.05 qd_soft ~concrete [100] 1 1
158 2 30 100 160.0 15.0 0.835 0.797 5.246 0.875 2.818 3.219 0.05 qd_soft ~concrete [100] 1 1
159 2 30 100 160.0 25.0 0.903 0.838 5.106 0.882 1.413 2.969 0.05 qd_soft ~concrete [100] 1 1
160 2 30 100 200.0 5.0 0.806 0.654 4.731 0.899 1.707 3.418 0.05 qd_soft ~concrete [100] 1 1
161 2 30 100 200.0 15.0 0.903 0.9 5.388 0.869 1.23 3.072 0.05 qd_soft ~concrete [100] 1 1
162 2 30 100 200.0 25.0 0.883 0.895 5.397 0.868 2.029 3.171 0.05 qd_soft ~concrete [100] 1 1
163 3 10 50 100.0 5.0 0.767 0.628 5.475 0.902 2.333 4.258 0.05 qd_soft ~concrete [50] 1 1
164 3 10 50 100.0 15.0 0.816 0.778 5.685 0.895 3.535 3.361 0.05 qd_soft ~concrete [50] 1 1
