EXP split_seed random_seed neurons soft lambda_in PICP_test MPIW_test RMSE R2 qd_loss NLL alpha loss data h_size bstraps ensemb
72 1 30 75 200.0 25.0 0.943 3.233 0.008 0.006 3.28 -3.416 0.05 qd_soft ~naval [75] 1 1
73 1 30 100 100.0 5.0 0.921 3.125 0.008 0.006 3.278 -3.394 0.05 qd_soft ~naval [100] 1 1
74 1 30 100 100.0 15.0 0.949 3.229 0.008 0.008 3.238 -3.416 0.05 qd_soft ~naval [100] 1 1
75 1 30 100 100.0 25.0 0.951 3.265 0.008 -0.0 3.269 -3.418 0.05 qd_soft ~naval [100] 1 1
76 1 30 100 160.0 5.0 0.915 3.109 0.008 0.011 3.328 -3.401 0.05 qd_soft ~naval [100] 1 1
77 1 30 100 160.0 15.0 1.0 26.306 0.016 -3.434 26.306 -2.459 0.05 qd_soft ~naval [100] 1 1
78 1 30 100 160.0 25.0 1.0 24.472 0.015 -2.727 24.472 -2.502 0.05 qd_soft ~naval [100] 1 1
79 1 30 100 200.0 5.0 1.0 28.635 0.021 -6.783 28.635 -2.576 0.05 qd_soft ~naval [100] 1 1
80 1 30 100 200.0 15.0 0.936 3.223 0.008 -0.001 3.339 -3.406 0.05 qd_soft ~naval [100] 1 1
81 1 30 100 200.0 25.0 0.958 3.255 0.008 0.002 3.258 -3.418 0.05 qd_soft ~naval [100] 1 1
82 2 10 50 100.0 5.0 0.922 3.139 0.007 0.014 3.292 -3.423 0.05 qd_soft ~naval [50] 1 1
83 2 10 50 100.0 15.0 0.948 3.216 0.007 0.001 3.227 -3.431 0.05 qd_soft ~naval [50] 1 1
84 2 10 50 100.0 25.0 0.961 3.271 0.007 0.0 3.278 -3.44 0.05 qd_soft ~naval [50] 1 1
85 2 10 50 160.0 5.0 0.92 3.099 0.007 0.013 3.257 -3.425 0.05 qd_soft ~naval [50] 1 1
86 2 10 50 160.0 15.0 0.965 3.222 0.007 -0.0 3.226 -3.44 0.05 qd_soft ~naval [50] 1 1
87 2 10 50 160.0 25.0 0.956 3.265 0.007 -0.008 3.267 -3.439 0.05 qd_soft ~naval [50] 1 1
88 2 10 50 200.0 5.0 0.915 3.056 0.007 0.003 3.266 -3.412 0.05 qd_soft ~naval [50] 1 1
89 2 10 50 200.0 15.0 0.951 3.232 0.007 -0.003 3.239 -3.434 0.05 qd_soft ~naval [50] 1 1
90 2 10 50 200.0 25.0 0.954 3.242 0.007 0.005 3.245 -3.445 0.05 qd_soft ~naval [50] 1 1
91 2 10 75 100.0 5.0 0.922 3.095 0.007 0.04 3.233 -3.448 0.05 qd_soft ~naval [75] 1 1
92 2 10 75 100.0 15.0 0.947 3.206 0.007 0.009 3.219 -3.434 0.05 qd_soft ~naval [75] 1 1
93 2 10 75 100.0 25.0 0.954 3.245 0.007 0.014 3.249 -3.452 0.05 qd_soft ~naval [75] 1 1
94 2 10 75 160.0 5.0 0.915 3.067 0.007 0.013 3.305 -3.402 0.05 qd_soft ~naval [75] 1 1
95 2 10 75 160.0 15.0 0.946 3.234 0.007 0.019 3.243 -3.454 0.05 qd_soft ~naval [75] 1 1
96 2 10 75 160.0 25.0 0.96 3.269 0.007 -0.001 3.271 -3.443 0.05 qd_soft ~naval [75] 1 1
97 2 10 75 200.0 5.0 0.924 3.1 0.007 0.003 3.224 -3.42 0.05 qd_soft ~naval [75] 1 1
98 2 10 75 200.0 15.0 0.95 3.228 0.007 0.005 3.228 -3.444 0.05 qd_soft ~naval [75] 1 1
99 2 10 75 200.0 25.0 0.952 3.253 0.007 0.004 3.258 -3.442 0.05 qd_soft ~naval [75] 1 1
100 2 10 100 100.0 5.0 0.925 3.104 0.007 0.019 3.218 -3.425 0.05 qd_soft ~naval [100] 1 1
101 2 10 100 100.0 15.0 0.946 3.223 0.007 0.019 3.233 -3.452 0.05 qd_soft ~naval [100] 1 1
102 2 10 100 100.0 25.0 0.96 3.247 0.007 0.005 3.248 -3.447 0.05 qd_soft ~naval [100] 1 1
103 2 10 100 160.0 5.0 0.815 8.123 0.04 -27.317 11.67 -0.677 0.05 qd_soft ~naval [100] 1 1
104 2 10 100 160.0 15.0 0.957 3.23 0.007 0.006 3.233 -3.444 0.05 qd_soft ~naval [100] 1 1
105 2 10 100 160.0 25.0 0.954 3.24 0.007 0.01 3.256 -3.436 0.05 qd_soft ~naval [100] 1 1
106 2 10 100 200.0 5.0 0.956 17.142 0.058 -58.664 17.62 -2.513 0.05 qd_soft ~naval [100] 1 1
107 2 10 100 200.0 15.0 0.992 14.28 0.016 -3.446 14.358 -2.911 0.05 qd_soft ~naval [100] 1 1
108 2 10 100 200.0 25.0 0.956 3.239 0.007 0.007 3.244 -3.445 0.05 qd_soft ~naval [100] 1 1
109 2 20 50 100.0 5.0 0.928 3.119 0.007 0.011 3.205 -3.431 0.05 qd_soft ~naval [50] 1 1
110 2 20 50 100.0 15.0 0.956 3.229 0.007 0.01 3.23 -3.446 0.05 qd_soft ~naval [50] 1 1
111 2 20 50 100.0 25.0 0.957 3.257 0.007 0.009 3.265 -3.443 0.05 qd_soft ~naval [50] 1 1
112 2 20 50 160.0 5.0 0.925 3.109 0.007 -0.002 3.232 -3.408 0.05 qd_soft ~naval [50] 1 1
113 2 20 50 160.0 15.0 0.953 3.237 0.007 -0.002 3.247 -3.43 0.05 qd_soft ~naval [50] 1 1
114 2 20 50 160.0 25.0 0.956 3.253 0.007 -0.003 3.254 -3.441 0.05 qd_soft ~naval [50] 1 1
115 2 20 50 200.0 5.0 0.91 3.072 0.007 -0.006 3.356 -3.397 0.05 qd_soft ~naval [50] 1 1
116 2 20 50 200.0 15.0 0.954 3.219 0.007 -0.001 3.221 -3.44 0.05 qd_soft ~naval [50] 1 1
