EXP dataset split_seed seed n_epoch lr hidden_layers hidden_units dropout wd alpha mse_tr capture_tr width_tr mse_va capture_va width_va mse_te capture_te width_te
407 naval 1 30 5000 0.0001 1 50 0.25 0.001 0.05 0.03736 0.94704 0.43186 0.0371 0.93994 0.42185 0.03691 0.94137 0.42128
217 naval 1 20 5000 0.001 1 50 0.75 0.001 0.05 0.03607 0.91771 0.36777 0.03828 0.91108 0.383 0.03554 0.90704 0.3543
607 naval 2 10 5000 0.01 1 75 0.25 0.001 0.05 0.0836 0.97556 0.99862 0.08403 0.96927 0.99831 0.08353 0.9799 0.9986
37 naval 1 10 5000 0.001 1 50 0.75 0.001 0.05 0.03442 0.94332 0.38907 0.0348 0.946 0.38932 0.03383 0.9397 0.37929
408 naval 1 30 5000 0.0001 1 50 0.25 0.01 0.05 0.08348 0.95321 0.99643 0.08349 0.95577 0.9965 0.08356 0.94556 0.99651
218 naval 1 20 5000 0.001 1 50 0.75 0.01 0.05 0.08354 0.94984 0.99424 0.08359 0.95112 0.99422 0.08361 0.94305 0.99424
608 naval 2 10 5000 0.01 1 75 0.25 0.01 0.05 0.08563 0.99895 1.0308 0.08562 0.99767 1.03071 0.08562 1.0 1.03077
38 naval 1 10 5000 0.001 1 50 0.75 0.01 0.05 0.08367 0.97754 0.99865 0.08377 0.97253 0.99864 0.08384 0.96734 0.99857
409 naval 1 30 5000 0.0001 1 50 0.25 0.1 0.05 0.08684 0.90712 0.92301 0.08651 0.90829 0.92297 0.08829 0.89866 0.92296
219 naval 1 20 5000 0.001 1 50 0.75 0.1 0.05 0.08616 0.92377 0.93712 0.08595 0.92598 0.937 0.0874 0.9129 0.93723
609 naval 2 10 5000 0.01 1 75 0.25 0.1 0.05 0.08537 0.93471 0.96698 0.08568 0.93156 0.9667 0.08577 0.93467 0.96687
39 naval 1 10 5000 0.001 1 50 0.75 0.1 0.05 0.08572 0.92144 0.94585 0.08604 0.91713 0.94586 0.08701 0.90955 0.9453
410 naval 1 30 5000 0.0001 1 50 0.25 1 0.05 0.20186 0.57914 0.6023 0.20324 0.57821 0.60229 0.21023 0.56784 0.60229
220 naval 1 20 5000 0.001 1 50 0.75 1 0.05 0.19896 0.61674 0.60688 0.20168 0.60615 0.60686 0.20757 0.61139 0.6069
610 naval 2 10 5000 0.01 1 75 0.25 1 0.05 0.18808 0.60975 0.63479 0.18757 0.62197 0.6345 0.18219 0.6139 0.63473
40 naval 1 10 5000 0.001 1 50 0.75 1 0.05 0.19463 0.59381 0.61567 0.19394 0.59823 0.61567 0.20282 0.58794 0.61573
411 naval 1 30 5000 0.0001 1 50 0.5 0 0.05 0.01027 0.95752 0.1134 0.01 0.95345 0.10888 0.01057 0.95477 0.1122
221 naval 1 20 5000 0.0001 1 50 0.1 0 0.05 0.0145 0.96066 0.16653 0.01517 0.94739 0.17075 0.015 0.94221 0.1636
611 naval 2 10 5000 0.01 1 75 0.5 0 0.05 0.0199 0.92831 0.22601 0.01982 0.9446 0.22835 0.01972 0.94137 0.22664
41 naval 1 10 5000 0.0001 1 50 0.1 0 0.05 0.01069 0.98918 0.12511 0.01108 0.98696 0.12581 0.01085 0.98492 0.12267
412 naval 1 30 5000 0.0001 1 50 0.5 0.001 0.05 0.03736 0.94704 0.43186 0.0371 0.93994 0.42185 0.03691 0.94137 0.42128
222 naval 1 20 5000 0.0001 1 50 0.1 0.001 0.05 0.04616 0.95275 0.52216 0.04756 0.94739 0.5327 0.04621 0.94221 0.51531
612 naval 2 10 5000 0.01 1 75 0.5 0.001 0.05 0.0836 0.97556 0.99862 0.08403 0.96927 0.99831 0.08353 0.9799 0.9986
42 naval 1 10 5000 0.0001 1 50 0.1 0.001 0.05 0.03753 0.9425 0.43089 0.03773 0.9432 0.43042 0.03731 0.92965 0.41978
413 naval 1 30 5000 0.0001 1 50 0.5 0.01 0.05 0.08348 0.95321 0.99643 0.08349 0.95577 0.9965 0.08356 0.94556 0.99651
223 naval 1 20 5000 0.0001 1 50 0.1 0.01 0.05 0.08345 0.95857 0.99723 0.08349 0.9567 0.99717 0.08351 0.95059 0.99727
613 naval 2 10 5000 0.01 1 75 0.5 0.01 0.05 0.08563 0.99895 1.0308 0.08562 0.99767 1.03071 0.08562 1.0 1.03077
43 naval 1 10 5000 0.0001 1 50 0.1 0.01 0.05 0.08344 0.97044 0.998 0.0835 0.96927 0.99799 0.08353 0.96566 0.99793
414 naval 1 30 5000 0.0001 1 50 0.5 0.1 0.05 0.08684 0.90712 0.92301 0.08651 0.90829 0.92297 0.08829 0.89866 0.92296
224 naval 1 20 5000 0.0001 1 50 0.1 0.1 0.05 0.0868 0.91318 0.92323 0.08655 0.91434 0.92314 0.08823 0.90034 0.92329
801 naval 2 20 5000 0.001 1 75 0.1 0 0.05 0.01206 1.0 0.14504 0.01201 1.0 0.14444 0.01203 1.0 0.14472
44 naval 1 10 5000 0.0001 1 50 0.1 0.1 0.05 0.08645 0.91574 0.92666 0.0866 0.91341 0.92666 0.08791 0.90201 0.9265
614 naval 2 10 5000 0.01 1 75 0.5 0.1 0.05 0.08537 0.93471 0.96698 0.08568 0.93156 0.9667 0.08577 0.93467 0.96687
415 naval 1 30 5000 0.0001 1 50 0.5 1 0.05 0.20186 0.57914 0.6023 0.20324 0.57821 0.60229 0.21023 0.56784 0.60229
225 naval 1 20 5000 0.0001 1 50 0.1 1 0.05 0.20146 0.61685 0.60235 0.20432 0.60615 0.60234 0.21008 0.61055 0.60234
802 naval 2 20 5000 0.001 1 75 0.1 0.001 0.05 0.03691 0.81518 0.35957 0.0383 0.82216 0.37783 0.03639 0.83417 0.3653
615 naval 2 10 5000 0.01 1 75 0.5 1 0.05 0.18808 0.60975 0.63479 0.18757 0.62197 0.6345 0.18219 0.6139 0.63473
45 naval 1 10 5000 0.0001 1 50 0.1 1 0.05 0.20104 0.59637 0.60393 0.20056 0.60102 0.60393 0.20896 0.59296 0.60399
416 naval 1 30 5000 0.0001 1 50 0.75 0 0.05 0.01027 0.95752 0.1134 0.01 0.95345 0.10888 0.01057 0.95477 0.1122
226 naval 1 20 5000 0.0001 1 50 0.25 0 0.05 0.0145 0.96066 0.16653 0.01517 0.94739 0.17075 0.015 0.94221 0.1636
803 naval 2 20 5000 0.001 1 75 0.1 0.01 0.05 0.08322 0.95088 0.99507 0.08329 0.95112 0.99503 0.08324 0.94807 0.99506
46 naval 1 10 5000 0.0001 1 50 0.25 0 0.05 0.01069 0.98918 0.12511 0.01108 0.98696 0.12581 0.01085 0.98492 0.12267
616 naval 2 10 5000 0.01 1 75 0.75 0 0.05 0.0199 0.92831 0.22601 0.01982 0.9446 0.22835 0.01972 0.94137 0.22664
417 naval 1 30 5000 0.0001 1 50 0.75 0.001 0.05 0.03736 0.94704 0.43186 0.0371 0.93994 0.42185 0.03691 0.94137 0.42128
227 naval 1 20 5000 0.0001 1 50 0.25 0.001 0.05 0.04616 0.95275 0.52216 0.04756 0.94739 0.5327 0.04621 0.94221 0.51531
47 naval 1 10 5000 0.0001 1 50 0.25 0.001 0.05 0.03753 0.9425 0.43089 0.03773 0.9432 0.43042 0.03731 0.92965 0.41978
804 naval 2 20 5000 0.001 1 75 0.1 0.1 0.05 0.0861 0.92272 0.93143 0.08625 0.92365 0.93145 0.08634 0.9196 0.93141
617 naval 2 10 5000 0.01 1 75 0.75 0.001 0.05 0.0836 0.97556 0.99862 0.08403 0.96927 0.99831 0.08353 0.9799 0.9986
418 naval 1 30 5000 0.0001 1 50 0.75 0.01 0.05 0.08348 0.95321 0.99643 0.08349 0.95577 0.9965 0.08356 0.94556 0.99651
228 naval 1 20 5000 0.0001 1 50 0.25 0.01 0.05 0.08345 0.95857 0.99723 0.08349 0.9567 0.99717 0.08351 0.95059 0.99727
48 naval 1 10 5000 0.0001 1 50 0.25 0.01 0.05 0.08344 0.97044 0.998 0.0835 0.96927 0.99799 0.08353 0.96566 0.99793
618 naval 2 10 5000 0.01 1 75 0.75 0.01 0.05 0.08563 0.99895 1.0308 0.08562 0.99767 1.03071 0.08562 1.0 1.03077
805 naval 2 20 5000 0.001 1 75 0.1 1 0.05 0.19318 0.60556 0.62061 0.18873 0.61499 0.62074 0.18825 0.61307 0.62062
419 naval 1 30 5000 0.0001 1 50 0.75 0.1 0.05 0.08684 0.90712 0.92301 0.08651 0.90829 0.92297 0.08829 0.89866 0.92296
229 naval 1 20 5000 0.0001 1 50 0.25 0.1 0.05 0.0868 0.91318 0.92323 0.08655 0.91434 0.92314 0.08823 0.90034 0.92329
1001 naval 2 30 5000 0.0001 1 75 0.1 0 0.05 0.00774 0.9794 0.08729 0.00789 0.97253 0.08721 0.00791 0.97069 0.08627
49 naval 1 10 5000 0.0001 1 50 0.25 0.1 0.05 0.08645 0.91574 0.92666 0.0866 0.91341 0.92666 0.08791 0.90201 0.9265
619 naval 2 10 5000 0.01 1 75 0.75 0.1 0.05 0.08537 0.93471 0.96698 0.08568 0.93156 0.9667 0.08577 0.93467 0.96687
806 naval 2 20 5000 0.001 1 75 0.25 0 0.05 0.01206 1.0 0.14504 0.01201 1.0 0.14444 0.01203 1.0 0.14472
420 naval 1 30 5000 0.0001 1 50 0.75 1 0.05 0.20186 0.57914 0.6023 0.20324 0.57821 0.60229 0.21023 0.56784 0.60229
230 naval 1 20 5000 0.0001 1 50 0.25 1 0.05 0.20146 0.61685 0.60235 0.20432 0.60615 0.60234 0.21008 0.61055 0.60234
50 naval 1 10 5000 0.0001 1 50 0.25 1 0.05 0.20104 0.59637 0.60393 0.20056 0.60102 0.60393 0.20896 0.59296 0.60399
620 naval 2 10 5000 0.01 1 75 0.75 1 0.05 0.18808 0.60975 0.63479 0.18757 0.62197 0.6345 0.18219 0.6139 0.63473
1002 naval 2 30 5000 0.0001 1 75 0.1 0.001 0.05 0.03833 0.93971 0.43577 0.03776 0.9311 0.42386 0.03803 0.94556 0.43463
807 naval 2 20 5000 0.001 1 75 0.25 0.001 0.05 0.03691 0.81518 0.35957 0.0383 0.82216 0.37783 0.03639 0.83417 0.3653
421 naval 1 30 5000 0.01 1 75 0.1 0 0.05 0.00792 0.81378 0.04961 0.00754 0.82775 0.04911 0.00727 0.8191 0.04836
51 naval 1 10 5000 0.0001 1 50 0.5 0 0.05 0.01069 0.98918 0.12511 0.01108 0.98696 0.12581 0.01085 0.98492 0.12267
231 naval 1 20 5000 0.0001 1 50 0.5 0 0.05 0.0145 0.96066 0.16653 0.01517 0.94739 0.17075 0.015 0.94221 0.1636
621 naval 2 10 5000 0.001 1 75 0.1 0 0.05 0.00521 0.9936 0.06205 0.00528 0.99209 0.06244 0.00524 0.99246 0.06204
1003 naval 2 30 5000 0.0001 1 75 0.1 0.01 0.05 0.08351 0.92737 0.99436 0.08361 0.92132 0.99438 0.08355 0.92379 0.99437
808 naval 2 20 5000 0.001 1 75 0.25 0.01 0.05 0.08322 0.95088 0.99507 0.08329 0.95112 0.99503 0.08324 0.94807 0.99506
422 naval 1 30 5000 0.01 1 75 0.1 0.001 0.05 0.08398 0.96648 0.99393 0.08376 0.9716 0.99378 0.08419 0.9598 0.9936
52 naval 1 10 5000 0.0001 1 50 0.5 0.001 0.05 0.03753 0.9425 0.43089 0.03773 0.9432 0.43042 0.03731 0.92965 0.41978
232 naval 1 20 5000 0.0001 1 50 0.5 0.001 0.05 0.04616 0.95275 0.52216 0.04756 0.94739 0.5327 0.04621 0.94221 0.51531
622 naval 2 10 5000 0.001 1 75 0.1 0.001 0.05 0.03 0.929 0.34202 0.03072 0.93017 0.34892 0.02986 0.93551 0.34403
1004 naval 2 30 5000 0.0001 1 75 0.1 0.1 0.05 0.08664 0.92388 0.92558 0.08734 0.91806 0.92565 0.08708 0.92044 0.92558
809 naval 2 20 5000 0.001 1 75 0.25 0.1 0.05 0.0861 0.92272 0.93143 0.08625 0.92365 0.93145 0.08634 0.9196 0.93141
423 naval 1 30 5000 0.01 1 75 0.1 0.01 0.05 0.08731 0.92993 0.97042 0.08663 0.93669 0.97106 0.08832 0.92211 0.97163
53 naval 1 10 5000 0.0001 1 50 0.5 0.01 0.05 0.08344 0.97044 0.998 0.0835 0.96927 0.99799 0.08353 0.96566 0.99793
233 naval 1 20 5000 0.0001 1 50 0.5 0.01 0.05 0.08345 0.95857 0.99723 0.08349 0.9567 0.99717 0.08351 0.95059 0.99727
1005 naval 2 30 5000 0.0001 1 75 0.1 1 0.05 0.20116 0.5959 0.60352 0.20883 0.58054 0.60351 0.19873 0.59966 0.60352
623 naval 2 10 5000 0.001 1 75 0.1 0.01 0.05 0.08338 0.96171 0.99477 0.0835 0.95577 0.99474 0.08369 0.95645 0.99482
424 naval 1 30 5000 0.01 1 75 0.1 0.1 0.05 0.08462 0.94728 0.97843 0.08446 0.95298 0.9787 0.08496 0.94137 0.97882
1201 naval 3 10 5000 0.01 1 100 0.1 0 0.05 0.00723 0.9048 0.06526 0.0071 0.90596 0.06555 0.0072 0.90369 0.06499
810 naval 2 20 5000 0.001 1 75 0.25 1 0.05 0.19318 0.60556 0.62061 0.18873 0.61499 0.62074 0.18825 0.61307 0.62062
54 naval 1 10 5000 0.0001 1 50 0.5 0.1 0.05 0.08645 0.91574 0.92666 0.0866 0.91341 0.92666 0.08791 0.90201 0.9265
1301 naval 3 20 5000 0.0001 1 50 0.1 0 0.05 0.01795 0.87931 0.1945 0.01862 0.87896 0.20205 0.01813 0.86097 0.1875
234 naval 1 20 5000 0.0001 1 50 0.5 0.1 0.05 0.0868 0.91318 0.92323 0.08655 0.91434 0.92314 0.08823 0.90034 0.92329
1006 naval 2 30 5000 0.0001 1 75 0.25 0 0.05 0.00774 0.9794 0.08729 0.00789 0.97253 0.08721 0.00791 0.97069 0.08627
624 naval 2 10 5000 0.001 1 75 0.1 0.1 0.05 0.08588 0.91189 0.93401 0.08642 0.90782 0.93393 0.08633 0.91374 0.93402
811 naval 2 20 5000 0.001 1 75 0.5 0 0.05 0.01206 1.0 0.14504 0.01201 1.0 0.14444 0.01203 1.0 0.14472
1202 naval 3 10 5000 0.01 1 100 0.1 0.001 0.05 0.08607 0.93994 0.9641 0.08618 0.94181 0.96414 0.08531 0.94472 0.96435
425 naval 1 30 5000 0.01 1 75 0.1 1 0.05 0.18449 0.60044 0.63367 0.1868 0.60475 0.63333 0.19374 0.59631 0.63315
55 naval 1 10 5000 0.0001 1 50 0.5 1 0.05 0.20104 0.59637 0.60393 0.20056 0.60102 0.60393 0.20896 0.59296 0.60399
1302 naval 3 20 5000 0.0001 1 50 0.1 0.001 0.05 0.05809 0.94774 0.66279 0.05894 0.94879 0.6701 0.05912 0.933 0.65891
235 naval 1 20 5000 0.0001 1 50 0.5 1 0.05 0.20146 0.61685 0.60235 0.20432 0.60615 0.60234 0.21008 0.61055 0.60234
1007 naval 2 30 5000 0.0001 1 75 0.25 0.001 0.05 0.03833 0.93971 0.43577 0.03776 0.9311 0.42386 0.03803 0.94556 0.43463
625 naval 2 10 5000 0.001 1 75 0.1 1 0.05 0.19614 0.59823 0.61517 0.19264 0.61453 0.61525 0.19172 0.61223 0.6152
426 naval 1 30 5000 0.01 1 75 0.25 0 0.05 0.00792 0.81378 0.04961 0.00754 0.82775 0.04911 0.00727 0.8191 0.04836
1303 naval 3 20 5000 0.0001 1 50 0.1 0.01 0.05 0.08341 0.94902 0.99716 0.08344 0.95251 0.99716 0.08341 0.95059 0.99719
1203 naval 3 10 5000 0.01 1 100 0.1 0.01 0.05 0.08545 0.93925 0.96634 0.08559 0.94181 0.96634 0.08507 0.94305 0.96701
812 naval 2 20 5000 0.001 1 75 0.5 0.001 0.05 0.03691 0.81518 0.35957 0.0383 0.82216 0.37783 0.03639 0.83417 0.3653
236 naval 1 20 5000 0.0001 1 50 0.75 0 0.05 0.0145 0.96066 0.16653 0.01517 0.94739 0.17075 0.015 0.94221 0.1636
56 naval 1 10 5000 0.0001 1 50 0.75 0 0.05 0.01069 0.98918 0.12511 0.01108 0.98696 0.12581 0.01085 0.98492 0.12267
1008 naval 2 30 5000 0.0001 1 75 0.25 0.01 0.05 0.08351 0.92737 0.99436 0.08361 0.92132 0.99438 0.08355 0.92379 0.99437
626 naval 2 10 5000 0.001 1 75 0.25 0 0.05 0.00521 0.9936 0.06205 0.00528 0.99209 0.06244 0.00524 0.99246 0.06204
