EXP dataset split_seed seed n_epoch lr hidden_layers hidden_units dropout wd alpha mse_tr capture_tr width_tr mse_va capture_va width_va mse_te capture_te width_te
225 kin8nm 1 20 5000 0.0001 1 50 0.1 1 0.05 0.24037 0.6098 0.33118 0.25765 0.58441 0.33144 0.24299 0.6061 0.33116
610 kin8nm 2 10 5000 0.01 1 75 0.25 1 0.05 0.24877 0.59301 0.32442 0.24734 0.60339 0.32449 0.25548 0.57927 0.32442
411 kin8nm 1 30 5000 0.0001 1 50 0.5 0 0.05 0.02958 0.95828 0.20789 0.04008 0.90102 0.20687 0.04177 0.8939 0.21325
53 kin8nm 1 10 5000 0.0001 1 50 0.5 0.01 0.05 0.07378 0.94879 0.48191 0.07308 0.95458 0.48377 0.07531 0.94268 0.4804
226 kin8nm 1 20 5000 0.0001 1 50 0.25 0 0.05 0.0333 0.96625 0.2301 0.0438 0.90508 0.22861 0.04531 0.9 0.23126
611 kin8nm 2 10 5000 0.01 1 75 0.5 0 0.05 0.03459 0.93827 0.21039 0.04175 0.90915 0.21022 0.03996 0.91829 0.21036
412 kin8nm 1 30 5000 0.0001 1 50 0.5 0.001 0.05 0.03644 0.96812 0.24782 0.04341 0.92814 0.24915 0.04066 0.93293 0.25092
54 kin8nm 1 10 5000 0.0001 1 50 0.5 0.1 0.05 0.09836 0.92132 0.58881 0.09457 0.93085 0.58912 0.09833 0.92195 0.5891
227 kin8nm 1 20 5000 0.0001 1 50 0.25 0.001 0.05 0.03789 0.95455 0.252 0.04547 0.91729 0.24983 0.04471 0.91463 0.25264
612 kin8nm 2 10 5000 0.01 1 75 0.5 0.001 0.05 0.05569 0.92759 0.32676 0.06034 0.90508 0.3271 0.05781 0.92683 0.326
413 kin8nm 1 30 5000 0.0001 1 50 0.5 0.01 0.05 0.07404 0.95031 0.48395 0.07397 0.9478 0.48223 0.07561 0.94512 0.48201
55 kin8nm 1 10 5000 0.0001 1 50 0.5 1 0.05 0.23654 0.61285 0.33874 0.22032 0.62847 0.33872 0.23252 0.61098 0.33868
