EXP dataset split_seed seed n_epoch lr hidden_layers hidden_units dropout wd alpha mse_tr capture_tr width_tr mse_va capture_va width_va mse_te capture_te width_te
55 concrete 1 10 5000 0.0001 1 50 0.5 1 0.05 0.22266 0.61269 0.39845 0.16441 0.72581 0.39818 0.16948 0.68932 0.39826
56 concrete 1 10 5000 0.0001 1 50 0.75 0 0.05 0.02595 0.95951 0.22145 0.04053 0.87634 0.21351 0.04655 0.92233 0.24505
57 concrete 1 10 5000 0.0001 1 50 0.75 0.001 0.05 0.0294 0.97571 0.24112 0.03883 0.89247 0.23488 0.04719 0.90291 0.26258
58 concrete 1 10 5000 0.0001 1 50 0.75 0.01 0.05 0.04756 0.95277 0.36448 0.04879 0.96237 0.35693 0.04857 0.96117 0.3817
59 concrete 1 10 5000 0.0001 1 50 0.75 0.1 0.05 0.08839 0.92173 0.62952 0.08006 0.95699 0.62637 0.07846 0.95146 0.6311
60 concrete 1 10 5000 0.0001 1 50 0.75 1 0.05 0.22266 0.61269 0.39845 0.16441 0.72581 0.39818 0.16948 0.68932 0.39826
61 concrete 1 10 5000 0.01 1 75 0.1 0 0.05 0.02099 0.90553 0.15346 0.04273 0.79032 0.15267 0.04202 0.82524 0.17142
62 concrete 1 10 5000 0.01 1 75 0.1 0.001 0.05 0.03487 0.95682 0.27248 0.03563 0.94624 0.26422 0.0461 0.91262 0.29571
63 concrete 1 10 5000 0.01 1 75 0.1 0.01 0.05 0.05153 0.92848 0.3682 0.05176 0.95699 0.35743 0.04837 0.96117 0.38726
64 concrete 1 10 5000 0.01 1 75 0.1 0.1 0.05 0.08825 0.91498 0.63758 0.08074 0.96237 0.6345 0.07831 0.95146 0.63887
65 concrete 1 10 5000 0.01 1 75 0.1 1 0.05 0.22561 0.60864 0.39686 0.16667 0.71505 0.3966 0.16943 0.68932 0.39708
66 concrete 1 10 5000 0.01 1 75 0.25 0 0.05 0.02099 0.90553 0.15346 0.04273 0.79032 0.15267 0.04202 0.82524 0.17142
67 concrete 1 10 5000 0.01 1 75 0.25 0.001 0.05 0.03487 0.95682 0.27248 0.03563 0.94624 0.26422 0.0461 0.91262 0.29571
68 concrete 1 10 5000 0.01 1 75 0.25 0.01 0.05 0.05153 0.92848 0.3682 0.05176 0.95699 0.35743 0.04837 0.96117 0.38726
69 concrete 1 10 5000 0.01 1 75 0.25 0.1 0.05 0.08825 0.91498 0.63758 0.08074 0.96237 0.6345 0.07831 0.95146 0.63887
70 concrete 1 10 5000 0.01 1 75 0.25 1 0.05 0.22561 0.60864 0.39686 0.16667 0.71505 0.3966 0.16943 0.68932 0.39708
