EXP split_seed random_seed neurons soft lambda_in sigma_in PICP_test MPIW_test RMSE alpha h_size epochs lr decay_rate ensemb n_runs
96 2 10 [75] 160.0 15.0 0.4 0.951 0.549 0.002 0.05 [75] 1000 0.006 0.998 1 1
97 2 10 [75] 160.0 20.0 0.05 0.951 0.892 0.003 0.05 [75] 1000 0.006 0.998 1 1
98 2 10 [75] 160.0 20.0 0.2 0.944 0.891 0.004 0.05 [75] 1000 0.006 0.998 1 1
99 2 10 [75] 160.0 20.0 0.4 0.956 0.663 0.003 0.05 [75] 1000 0.006 0.998 1 1
100 2 10 [100] 160.0 5.0 0.05 0.934 0.58 0.003 0.05 [100] 1000 0.006 0.998 1 1
101 2 10 [100] 160.0 5.0 0.2 0.914 0.573 0.003 0.05 [100] 1000 0.006 0.998 1 1
102 2 10 [100] 160.0 5.0 0.4 0.942 0.332 0.002 0.05 [100] 1000 0.006 0.998 1 1
103 2 10 [100] 160.0 15.0 0.05 0.945 0.833 0.003 0.05 [100] 1000 0.006 0.998 1 1
104 2 10 [100] 160.0 15.0 0.2 0.936 0.771 0.003 0.05 [100] 1000 0.006 0.998 1 1
105 2 10 [100] 160.0 15.0 0.4 0.962 0.501 0.002 0.05 [100] 1000 0.006 0.998 1 1
106 2 10 [100] 160.0 20.0 0.05 0.951 1.032 0.004 0.05 [100] 1000 0.006 0.998 1 1
107 2 10 [100] 160.0 20.0 0.2 0.941 0.853 0.003 0.05 [100] 1000 0.006 0.998 1 1
108 2 10 [100] 160.0 20.0 0.4 0.957 0.611 0.002 0.05 [100] 1000 0.006 0.998 1 1
109 2 20 [50] 160.0 5.0 0.05 0.926 0.733 0.004 0.05 [50] 1000 0.006 0.998 1 1
110 2 20 [50] 160.0 5.0 0.2 0.941 0.515 0.002 0.05 [50] 1000 0.006 0.998 1 1
111 2 20 [50] 160.0 5.0 0.4 0.938 0.519 0.002 0.05 [50] 1000 0.006 0.998 1 1
112 2 20 [50] 160.0 15.0 0.05 0.955 1.023 0.004 0.05 [50] 1000 0.006 0.998 1 1
113 2 20 [50] 160.0 15.0 0.2 0.951 0.851 0.003 0.05 [50] 1000 0.006 0.998 1 1
114 2 20 [50] 160.0 15.0 0.4 0.945 0.622 0.002 0.05 [50] 1000 0.006 0.998 1 1
115 2 20 [50] 160.0 20.0 0.05 0.95 1.025 0.004 0.05 [50] 1000 0.006 0.998 1 1
116 2 20 [50] 160.0 20.0 0.2 0.954 0.99 0.004 0.05 [50] 1000 0.006 0.998 1 1
117 2 20 [50] 160.0 20.0 0.4 0.954 0.763 0.003 0.05 [50] 1000 0.006 0.998 1 1
118 2 20 [75] 160.0 5.0 0.05 0.932 0.662 0.003 0.05 [75] 1000 0.006 0.998 1 1
119 2 20 [75] 160.0 5.0 0.2 0.921 0.52 0.003 0.05 [75] 1000 0.006 0.998 1 1
120 2 20 [75] 160.0 5.0 0.4 0.943 0.426 0.002 0.05 [75] 1000 0.006 0.998 1 1
121 2 20 [75] 160.0 15.0 0.05 0.947 0.881 0.004 0.05 [75] 1000 0.006 0.998 1 1
122 2 20 [75] 160.0 15.0 0.2 0.938 0.843 0.003 0.05 [75] 1000 0.006 0.998 1 1
123 2 20 [75] 160.0 15.0 0.4 0.95 0.657 0.003 0.05 [75] 1000 0.006 0.998 1 1
124 2 20 [75] 160.0 20.0 0.05 0.951 1.006 0.004 0.05 [75] 1000 0.006 0.998 1 1
125 2 20 [75] 160.0 20.0 0.2 0.946 0.949 0.004 0.05 [75] 1000 0.006 0.998 1 1
126 2 20 [75] 160.0 20.0 0.4 0.957 0.693 0.003 0.05 [75] 1000 0.006 0.998 1 1
127 2 20 [100] 160.0 5.0 0.05 0.946 0.57 0.003 0.05 [100] 1000 0.006 0.998 1 1
128 2 20 [100] 160.0 5.0 0.2 0.927 0.644 0.003 0.05 [100] 1000 0.006 0.998 1 1
129 2 20 [100] 160.0 5.0 0.4 0.946 0.356 0.002 0.05 [100] 1000 0.006 0.998 1 1
130 2 20 [100] 160.0 15.0 0.05 0.945 0.912 0.004 0.05 [100] 1000 0.006 0.998 1 1
131 2 20 [100] 160.0 15.0 0.2 0.945 0.891 0.003 0.05 [100] 1000 0.006 0.998 1 1
132 2 20 [100] 160.0 15.0 0.4 0.954 0.881 0.003 0.05 [100] 1000 0.006 0.998 1 1
133 2 20 [100] 160.0 20.0 0.05 0.948 0.978 0.004 0.05 [100] 1000 0.006 0.998 1 1
134 2 20 [100] 160.0 20.0 0.2 0.954 0.863 0.003 0.05 [100] 1000 0.006 0.998 1 1
135 2 20 [100] 160.0 20.0 0.4 0.951 0.64 0.003 0.05 [100] 1000 0.006 0.998 1 1
136 2 30 [50] 160.0 5.0 0.05 0.941 0.687 0.002 0.05 [50] 1000 0.006 0.998 1 1
137 2 30 [50] 160.0 5.0 0.2 0.937 0.524 0.002 0.05 [50] 1000 0.006 0.998 1 1
138 2 30 [50] 160.0 5.0 0.4 0.935 0.344 0.001 0.05 [50] 1000 0.006 0.998 1 1
139 2 30 [50] 160.0 15.0 0.05 0.946 0.851 0.003 0.05 [50] 1000 0.006 0.998 1 1
140 2 30 [50] 160.0 15.0 0.2 0.935 0.757 0.003 0.05 [50] 1000 0.006 0.998 1 1
141 2 30 [50] 160.0 15.0 0.4 0.956 0.705 0.002 0.05 [50] 1000 0.006 0.998 1 1
142 2 30 [50] 160.0 20.0 0.05 0.95 1.001 0.003 0.05 [50] 1000 0.006 0.998 1 1
143 2 30 [50] 160.0 20.0 0.2 0.951 0.864 0.003 0.05 [50] 1000 0.006 0.998 1 1
144 2 30 [50] 160.0 20.0 0.4 0.954 0.686 0.002 0.05 [50] 1000 0.006 0.998 1 1
145 2 30 [75] 160.0 5.0 0.05 0.925 0.594 0.003 0.05 [75] 1000 0.006 0.998 1 1
146 2 30 [75] 160.0 5.0 0.2 0.937 0.453 0.002 0.05 [75] 1000 0.006 0.998 1 1
147 2 30 [75] 160.0 5.0 0.4 0.942 0.437 0.002 0.05 [75] 1000 0.006 0.998 1 1
148 2 30 [75] 160.0 15.0 0.05 0.942 1.068 0.004 0.05 [75] 1000 0.006 0.998 1 1
149 2 30 [75] 160.0 15.0 0.2 0.944 0.776 0.003 0.05 [75] 1000 0.006 0.998 1 1
150 2 30 [75] 160.0 15.0 0.4 0.956 0.616 0.002 0.05 [75] 1000 0.006 0.998 1 1
151 2 30 [75] 160.0 20.0 0.05 0.952 0.991 0.004 0.05 [75] 1000 0.006 0.998 1 1
152 2 30 [75] 160.0 20.0 0.2 0.946 0.972 0.004 0.05 [75] 1000 0.006 0.998 1 1
153 2 30 [75] 160.0 20.0 0.4 0.956 0.729 0.003 0.05 [75] 1000 0.006 0.998 1 1
154 2 30 [100] 160.0 5.0 0.05 0.925 0.614 0.003 0.05 [100] 1000 0.006 0.998 1 1
155 2 30 [100] 160.0 5.0 0.2 0.915 0.628 0.003 0.05 [100] 1000 0.006 0.998 1 1
156 2 30 [100] 160.0 5.0 0.4 0.951 0.313 0.002 0.05 [100] 1000 0.006 0.998 1 1
157 2 30 [100] 160.0 15.0 0.05 0.945 0.955 0.004 0.05 [100] 1000 0.006 0.998 1 1
158 2 30 [100] 160.0 15.0 0.2 0.946 0.842 0.003 0.05 [100] 1000 0.006 0.998 1 1
159 2 30 [100] 160.0 15.0 0.4 0.951 0.615 0.002 0.05 [100] 1000 0.006 0.998 1 1
160 2 30 [100] 160.0 20.0 0.05 0.952 0.988 0.004 0.05 [100] 1000 0.006 0.998 1 1
161 2 30 [100] 160.0 20.0 0.2 0.951 0.884 0.003 0.05 [100] 1000 0.006 0.998 1 1
162 2 30 [100] 160.0 20.0 0.4 0.951 0.721 0.003 0.05 [100] 1000 0.006 0.998 1 1
163 3 10 [50] 160.0 5.0 0.05 0.934 0.782 0.003 0.05 [50] 1000 0.006 0.998 1 1
164 3 10 [50] 160.0 5.0 0.2 0.925 0.578 0.003 0.05 [50] 1000 0.006 0.998 1 1
165 3 10 [50] 160.0 5.0 0.4 0.951 0.335 0.001 0.05 [50] 1000 0.006 0.998 1 1
166 3 10 [50] 160.0 15.0 0.05 0.945 0.864 0.004 0.05 [50] 1000 0.006 0.998 1 1
167 3 10 [50] 160.0 15.0 0.2 0.943 0.783 0.003 0.05 [50] 1000 0.006 0.998 1 1
168 3 10 [50] 160.0 15.0 0.4 0.951 0.584 0.002 0.05 [50] 1000 0.006 0.998 1 1
169 3 10 [50] 160.0 20.0 0.05 0.946 1.107 0.004 0.05 [50] 1000 0.006 0.998 1 1
170 3 10 [50] 160.0 20.0 0.2 0.947 1.04 0.004 0.05 [50] 1000 0.006 0.998 1 1
171 3 10 [50] 160.0 20.0 0.4 0.95 0.686 0.003 0.05 [50] 1000 0.006 0.998 1 1
172 3 10 [75] 160.0 5.0 0.05 0.927 0.611 0.003 0.05 [75] 1000 0.006 0.998 1 1
173 3 10 [75] 160.0 5.0 0.2 0.918 0.625 0.004 0.05 [75] 1000 0.006 0.998 1 1
174 3 10 [75] 160.0 5.0 0.4 0.944 0.33 0.002 0.05 [75] 1000 0.006 0.998 1 1
175 3 10 [75] 160.0 15.0 0.05 0.96 0.91 0.004 0.05 [75] 1000 0.006 0.998 1 1
176 3 10 [75] 160.0 15.0 0.2 0.941 0.772 0.004 0.05 [75] 1000 0.006 0.998 1 1
177 3 10 [75] 160.0 15.0 0.4 0.951 0.655 0.003 0.05 [75] 1000 0.006 0.998 1 1
178 3 10 [75] 160.0 20.0 0.05 0.959 1.003 0.004 0.05 [75] 1000 0.006 0.998 1 1
179 3 10 [75] 160.0 20.0 0.2 0.956 0.896 0.004 0.05 [75] 1000 0.006 0.998 1 1
180 3 10 [75] 160.0 20.0 0.4 0.949 0.637 0.003 0.05 [75] 1000 0.006 0.998 1 1
181 3 10 [100] 160.0 5.0 0.05 0.929 0.808 0.003 0.05 [100] 1000 0.006 0.998 1 1
182 3 10 [100] 160.0 5.0 0.2 0.929 0.477 0.003 0.05 [100] 1000 0.006 0.998 1 1
183 3 10 [100] 160.0 5.0 0.4 0.964 0.291 0.001 0.05 [100] 1000 0.006 0.998 1 1
184 3 10 [100] 160.0 15.0 0.05 0.952 1.025 0.004 0.05 [100] 1000 0.006 0.998 1 1
185 3 10 [100] 160.0 15.0 0.2 0.946 0.685 0.003 0.05 [100] 1000 0.006 0.998 1 1
186 3 10 [100] 160.0 15.0 0.4 0.946 0.562 0.002 0.05 [100] 1000 0.006 0.998 1 1
187 3 10 [100] 160.0 20.0 0.05 0.948 0.925 0.004 0.05 [100] 1000 0.006 0.998 1 1
188 3 10 [100] 160.0 20.0 0.2 0.945 0.832 0.003 0.05 [100] 1000 0.006 0.998 1 1
