EXP split_seed random_seed neurons soft lambda_in sigma_in PICP_test MPIW_test RMSE alpha h_size epochs lr decay_rate ensemb n_runs
82 2 10 [50] 160.0 5.0 0.05 0.835 0.633 4.373 0.05 [50] 800 0.03 0.98 1 1
83 2 10 [50] 160.0 5.0 0.2 0.825 0.67 4.692 0.05 [50] 800 0.03 0.98 1 1
84 2 10 [50] 160.0 5.0 0.4 0.728 0.613 4.928 0.05 [50] 800 0.03 0.98 1 1
85 2 10 [50] 160.0 15.0 0.05 0.854 0.811 5.049 0.05 [50] 800 0.03 0.98 1 1
86 2 10 [50] 160.0 15.0 0.2 0.893 0.772 4.775 0.05 [50] 800 0.03 0.98 1 1
87 2 10 [50] 160.0 15.0 0.4 0.913 0.746 4.324 0.05 [50] 800 0.03 0.98 1 1
88 2 10 [50] 160.0 20.0 0.05 0.854 0.785 5.129 0.05 [50] 800 0.03 0.98 1 1
89 2 10 [50] 160.0 20.0 0.2 0.883 0.817 4.706 0.05 [50] 800 0.03 0.98 1 1
90 2 10 [50] 160.0 20.0 0.4 0.864 0.817 5.3 0.05 [50] 800 0.03 0.98 1 1
91 2 10 [75] 160.0 5.0 0.05 0.854 0.676 5.225 0.05 [75] 800 0.03 0.98 1 1
92 2 10 [75] 160.0 5.0 0.2 0.835 0.653 4.623 0.05 [75] 800 0.03 0.98 1 1
93 2 10 [75] 160.0 5.0 0.4 0.806 0.581 4.405 0.05 [75] 800 0.03 0.98 1 1
94 2 10 [75] 160.0 15.0 0.05 0.845 0.769 4.677 0.05 [75] 800 0.03 0.98 1 1
95 2 10 [75] 160.0 15.0 0.2 0.816 0.731 4.784 0.05 [75] 800 0.03 0.98 1 1
96 2 10 [75] 160.0 15.0 0.4 0.874 0.733 4.889 0.05 [75] 800 0.03 0.98 1 1
97 2 10 [75] 160.0 20.0 0.05 0.864 0.817 4.898 0.05 [75] 800 0.03 0.98 1 1
98 2 10 [75] 160.0 20.0 0.2 0.816 0.748 4.956 0.05 [75] 800 0.03 0.98 1 1
99 2 10 [75] 160.0 20.0 0.4 0.845 0.816 4.561 0.05 [75] 800 0.03 0.98 1 1
100 2 10 [100] 160.0 5.0 0.05 0.796 0.66 4.528 0.05 [100] 800 0.03 0.98 1 1
101 2 10 [100] 160.0 5.0 0.2 0.748 0.599 4.82 0.05 [100] 800 0.03 0.98 1 1
102 2 10 [100] 160.0 5.0 0.4 0.796 0.566 4.25 0.05 [100] 800 0.03 0.98 1 1
103 2 10 [100] 160.0 15.0 0.05 0.777 0.787 5.413 0.05 [100] 800 0.03 0.98 1 1
104 2 10 [100] 160.0 15.0 0.2 0.903 0.769 4.32 0.05 [100] 800 0.03 0.98 1 1
105 2 10 [100] 160.0 15.0 0.4 0.883 0.758 4.551 0.05 [100] 800 0.03 0.98 1 1
106 2 10 [100] 160.0 20.0 0.05 0.913 0.867 4.991 0.05 [100] 800 0.03 0.98 1 1
107 2 10 [100] 160.0 20.0 0.2 0.835 0.794 4.686 0.05 [100] 800 0.03 0.98 1 1
108 2 10 [100] 160.0 20.0 0.4 0.835 0.727 4.602 0.05 [100] 800 0.03 0.98 1 1
109 2 20 [50] 160.0 5.0 0.05 0.786 0.625 4.484 0.05 [50] 800 0.03 0.98 1 1
110 2 20 [50] 160.0 5.0 0.2 0.796 0.664 4.728 0.05 [50] 800 0.03 0.98 1 1
111 2 20 [50] 160.0 5.0 0.4 0.786 0.606 4.532 0.05 [50] 800 0.03 0.98 1 1
112 2 20 [50] 160.0 15.0 0.05 0.883 0.763 4.532 0.05 [50] 800 0.03 0.98 1 1
113 2 20 [50] 160.0 15.0 0.2 0.922 0.792 4.59 0.05 [50] 800 0.03 0.98 1 1
114 2 20 [50] 160.0 15.0 0.4 0.845 0.752 5.303 0.05 [50] 800 0.03 0.98 1 1
115 2 20 [50] 160.0 20.0 0.05 0.874 0.837 5.162 0.05 [50] 800 0.03 0.98 1 1
