EXP split_seed random_seed neurons soft lambda_in sigma_in PICP_test MPIW_test RMSE alpha h_size epochs lr decay_rate ensemb n_runs
104 2 10 [100] 160.0 15.0 0.2 0.831 0.551 2.793 0.05 [100] 1200 0.016 0.97 1 1
105 2 10 [100] 160.0 15.0 0.4 0.766 0.542 2.654 0.05 [100] 1200 0.016 0.97 1 1
106 2 10 [100] 160.0 20.0 0.05 0.857 0.594 2.81 0.05 [100] 1200 0.016 0.97 1 1
107 2 10 [100] 160.0 20.0 0.2 0.909 0.654 2.99 0.05 [100] 1200 0.016 0.97 1 1
108 2 10 [100] 160.0 20.0 0.4 0.766 0.606 2.825 0.05 [100] 1200 0.016 0.97 1 1
109 2 20 [50] 160.0 5.0 0.05 0.805 0.499 2.84 0.05 [50] 1200 0.016 0.97 1 1
110 2 20 [50] 160.0 5.0 0.2 0.818 0.493 3.291 0.05 [50] 1200 0.016 0.97 1 1
111 2 20 [50] 160.0 5.0 0.4 0.753 0.475 2.568 0.05 [50] 1200 0.016 0.97 1 1
112 2 20 [50] 160.0 15.0 0.05 0.87 0.618 2.844 0.05 [50] 1200 0.016 0.97 1 1
113 2 20 [50] 160.0 15.0 0.2 0.896 0.594 3.019 0.05 [50] 1200 0.016 0.97 1 1
114 2 20 [50] 160.0 15.0 0.4 0.753 0.6 3.046 0.05 [50] 1200 0.016 0.97 1 1
115 2 20 [50] 160.0 20.0 0.05 0.896 0.653 2.963 0.05 [50] 1200 0.016 0.97 1 1
116 2 20 [50] 160.0 20.0 0.2 0.831 0.64 3.074 0.05 [50] 1200 0.016 0.97 1 1
117 2 20 [50] 160.0 20.0 0.4 0.792 0.635 3.017 0.05 [50] 1200 0.016 0.97 1 1
118 2 20 [75] 160.0 5.0 0.05 0.792 0.492 3.248 0.05 [75] 1200 0.016 0.97 1 1
119 2 20 [75] 160.0 5.0 0.2 0.792 0.449 2.555 0.05 [75] 1200 0.016 0.97 1 1
120 2 20 [75] 160.0 5.0 0.4 0.805 0.388 2.165 0.05 [75] 1200 0.016 0.97 1 1
121 2 20 [75] 160.0 15.0 0.05 0.831 0.579 2.769 0.05 [75] 1200 0.016 0.97 1 1
122 2 20 [75] 160.0 15.0 0.2 0.87 0.628 2.998 0.05 [75] 1200 0.016 0.97 1 1
123 2 20 [75] 160.0 15.0 0.4 0.753 0.513 2.709 0.05 [75] 1200 0.016 0.97 1 1
124 2 20 [75] 160.0 20.0 0.05 0.87 0.604 2.77 0.05 [75] 1200 0.016 0.97 1 1
125 2 20 [75] 160.0 20.0 0.2 0.857 0.575 2.729 0.05 [75] 1200 0.016 0.97 1 1
126 2 20 [75] 160.0 20.0 0.4 0.805 0.523 2.536 0.05 [75] 1200 0.016 0.97 1 1
127 2 20 [100] 160.0 5.0 0.05 0.779 0.484 2.554 0.05 [100] 1200 0.016 0.97 1 1
128 2 20 [100] 160.0 5.0 0.2 0.727 0.437 2.387 0.05 [100] 1200 0.016 0.97 1 1
129 2 20 [100] 160.0 5.0 0.4 0.701 0.394 2.175 0.05 [100] 1200 0.016 0.97 1 1
130 2 20 [100] 160.0 15.0 0.05 0.857 0.609 2.858 0.05 [100] 1200 0.016 0.97 1 1
131 2 20 [100] 160.0 15.0 0.2 0.805 0.53 2.606 0.05 [100] 1200 0.016 0.97 1 1
132 2 20 [100] 160.0 15.0 0.4 0.779 0.495 2.365 0.05 [100] 1200 0.016 0.97 1 1
133 2 20 [100] 160.0 20.0 0.05 0.87 0.583 2.755 0.05 [100] 1200 0.016 0.97 1 1
