EXP split_seed random_seed neurons soft lambda_in sigma_in PICP_test MPIW_test RMSE alpha h_size epochs lr decay_rate ensemb n_runs
127 2 20 [100] 160.0 5.0 0.05 0.901 1.849 4.697 0.05 [100] 600 0.002 0.999 1 1
128 2 20 [100] 160.0 5.0 0.2 0.895 1.801 4.577 0.05 [100] 600 0.002 0.999 1 1
129 2 20 [100] 160.0 5.0 0.4 0.895 1.805 4.589 0.05 [100] 600 0.002 0.999 1 1
130 2 20 [100] 160.0 15.0 0.05 0.926 2.008 4.755 0.05 [100] 600 0.002 0.999 1 1
131 2 20 [100] 160.0 15.0 0.2 0.923 1.987 4.714 0.05 [100] 600 0.002 0.999 1 1
132 2 20 [100] 160.0 15.0 0.4 0.924 1.996 4.718 0.05 [100] 600 0.002 0.999 1 1
133 2 20 [100] 160.0 20.0 0.05 0.93 2.057 4.761 0.05 [100] 600 0.002 0.999 1 1
134 2 20 [100] 160.0 20.0 0.2 0.931 2.048 4.757 0.05 [100] 600 0.002 0.999 1 1
135 2 20 [100] 160.0 20.0 0.4 0.929 2.044 4.73 0.05 [100] 600 0.002 0.999 1 1
136 2 30 [50] 160.0 5.0 0.05 0.897 1.888 4.734 0.05 [50] 600 0.002 0.999 1 1
137 2 30 [50] 160.0 5.0 0.2 0.898 1.887 4.71 0.05 [50] 600 0.002 0.999 1 1
138 2 30 [50] 160.0 5.0 0.4 0.894 1.871 4.717 0.05 [50] 600 0.002 0.999 1 1
139 2 30 [50] 160.0 15.0 0.05 0.928 2.078 4.837 0.05 [50] 600 0.002 0.999 1 1
140 2 30 [50] 160.0 15.0 0.2 0.928 2.062 4.796 0.05 [50] 600 0.002 0.999 1 1
141 2 30 [50] 160.0 15.0 0.4 0.929 2.096 4.802 0.05 [50] 600 0.002 0.999 1 1
142 2 30 [50] 160.0 20.0 0.05 0.934 2.126 4.864 0.05 [50] 600 0.002 0.999 1 1
143 2 30 [50] 160.0 20.0 0.2 0.935 2.109 4.82 0.05 [50] 600 0.002 0.999 1 1
144 2 30 [50] 160.0 20.0 0.4 0.931 2.137 4.827 0.05 [50] 600 0.002 0.999 1 1
145 2 30 [75] 160.0 5.0 0.05 0.897 1.855 4.678 0.05 [75] 600 0.002 0.999 1 1
146 2 30 [75] 160.0 5.0 0.2 0.898 1.836 4.637 0.05 [75] 600 0.002 0.999 1 1
147 2 30 [75] 160.0 5.0 0.4 0.896 1.847 4.669 0.05 [75] 600 0.002 0.999 1 1
148 2 30 [75] 160.0 15.0 0.05 0.929 2.035 4.781 0.05 [75] 600 0.002 0.999 1 1
149 2 30 [75] 160.0 15.0 0.2 0.927 2.029 4.758 0.05 [75] 600 0.002 0.999 1 1
150 2 30 [75] 160.0 15.0 0.4 0.924 2.043 4.762 0.05 [75] 600 0.002 0.999 1 1
151 2 30 [75] 160.0 20.0 0.05 0.931 2.067 4.81 0.05 [75] 600 0.002 0.999 1 1
152 2 30 [75] 160.0 20.0 0.2 0.931 2.073 4.767 0.05 [75] 600 0.002 0.999 1 1
153 2 30 [75] 160.0 20.0 0.4 0.934 2.087 4.776 0.05 [75] 600 0.002 0.999 1 1
154 2 30 [100] 160.0 5.0 0.05 0.896 1.823 4.636 0.05 [100] 600 0.002 0.999 1 1
155 2 30 [100] 160.0 5.0 0.2 0.893 1.775 4.566 0.05 [100] 600 0.002 0.999 1 1
156 2 30 [100] 160.0 5.0 0.4 0.893 1.812 4.579 0.05 [100] 600 0.002 0.999 1 1
157 2 30 [100] 160.0 15.0 0.05 0.928 2.012 4.752 0.05 [100] 600 0.002 0.999 1 1
158 2 30 [100] 160.0 15.0 0.2 0.926 1.998 4.676 0.05 [100] 600 0.002 0.999 1 1
159 2 30 [100] 160.0 15.0 0.4 0.926 2.0 4.693 0.05 [100] 600 0.002 0.999 1 1
160 2 30 [100] 160.0 20.0 0.05 0.932 2.053 4.773 0.05 [100] 600 0.002 0.999 1 1
161 2 30 [100] 160.0 20.0 0.2 0.929 2.038 4.734 0.05 [100] 600 0.002 0.999 1 1
162 2 30 [100] 160.0 20.0 0.4 0.928 2.054 4.728 0.05 [100] 600 0.002 0.999 1 1
163 3 10 [50] 160.0 5.0 0.05 0.892 1.914 4.808 0.05 [50] 600 0.002 0.999 1 1
164 3 10 [50] 160.0 5.0 0.2 0.894 1.894 4.792 0.05 [50] 600 0.002 0.999 1 1
165 3 10 [50] 160.0 5.0 0.4 0.884 1.886 4.799 0.05 [50] 600 0.002 0.999 1 1
166 3 10 [50] 160.0 15.0 0.05 0.922 2.1 4.903 0.05 [50] 600 0.002 0.999 1 1
167 3 10 [50] 160.0 15.0 0.2 0.92 2.079 4.869 0.05 [50] 600 0.002 0.999 1 1
168 3 10 [50] 160.0 15.0 0.4 0.922 2.076 4.84 0.05 [50] 600 0.002 0.999 1 1
169 3 10 [50] 160.0 20.0 0.05 0.925 2.132 4.93 0.05 [50] 600 0.002 0.999 1 1
170 3 10 [50] 160.0 20.0 0.2 0.926 2.125 4.9 0.05 [50] 600 0.002 0.999 1 1
171 3 10 [50] 160.0 20.0 0.4 0.928 2.11 4.875 0.05 [50] 600 0.002 0.999 1 1
172 3 10 [75] 160.0 5.0 0.05 0.891 1.861 4.734 0.05 [75] 600 0.002 0.999 1 1
173 3 10 [75] 160.0 5.0 0.2 0.889 1.843 4.714 0.05 [75] 600 0.002 0.999 1 1
174 3 10 [75] 160.0 5.0 0.4 0.886 1.84 4.682 0.05 [75] 600 0.002 0.999 1 1
175 3 10 [75] 160.0 15.0 0.05 0.921 2.054 4.839 0.05 [75] 600 0.002 0.999 1 1
