EXP split_seed random_seed neurons soft lambda_in sigma_in PICP_test MPIW_test RMSE alpha h_size epochs lr decay_rate ensemb n_runs
81 1 30 [100] 160.0 20.0 0.4 0.935 0.613 2.926 0.05 [100] 2000 0.005 0.98 1 1
82 2 10 [50] 160.0 5.0 0.05 0.935 0.099 0.313 0.05 [50] 2000 0.005 0.98 1 1
83 2 10 [50] 160.0 5.0 0.2 0.935 0.095 0.435 0.05 [50] 2000 0.005 0.98 1 1
84 2 10 [50] 160.0 5.0 0.4 0.903 0.214 0.915 0.05 [50] 2000 0.005 0.98 1 1
85 2 10 [50] 160.0 15.0 0.05 0.935 0.131 0.417 0.05 [50] 2000 0.005 0.98 1 1
86 2 10 [50] 160.0 15.0 0.2 0.935 0.149 0.522 0.05 [50] 2000 0.005 0.98 1 1
87 2 10 [50] 160.0 15.0 0.4 0.839 0.318 1.766 0.05 [50] 2000 0.005 0.98 1 1
88 2 10 [50] 160.0 20.0 0.05 0.903 0.134 0.418 0.05 [50] 2000 0.005 0.98 1 1
89 2 10 [50] 160.0 20.0 0.2 0.935 0.161 0.684 0.05 [50] 2000 0.005 0.98 1 1
90 2 10 [50] 160.0 20.0 0.4 0.871 0.348 2.241 0.05 [50] 2000 0.005 0.98 1 1
91 2 10 [75] 160.0 5.0 0.05 0.968 0.096 0.344 0.05 [75] 2000 0.005 0.98 1 1
92 2 10 [75] 160.0 5.0 0.2 0.806 0.101 0.517 0.05 [75] 2000 0.005 0.98 1 1
93 2 10 [75] 160.0 5.0 0.4 0.871 0.305 1.23 0.05 [75] 2000 0.005 0.98 1 1
94 2 10 [75] 160.0 15.0 0.05 0.968 0.134 0.533 0.05 [75] 2000 0.005 0.98 1 1
95 2 10 [75] 160.0 15.0 0.2 0.968 0.126 0.463 0.05 [75] 2000 0.005 0.98 1 1
96 2 10 [75] 160.0 15.0 0.4 0.935 0.405 2.402 0.05 [75] 2000 0.005 0.98 1 1
97 2 10 [75] 160.0 20.0 0.05 1.0 0.225 0.517 0.05 [75] 2000 0.005 0.98 1 1
98 2 10 [75] 160.0 20.0 0.2 1.0 0.141 0.455 0.05 [75] 2000 0.005 0.98 1 1
99 2 10 [75] 160.0 20.0 0.4 0.935 0.408 2.186 0.05 [75] 2000 0.005 0.98 1 1
100 2 10 [100] 160.0 5.0 0.05 0.871 0.099 0.749 0.05 [100] 2000 0.005 0.98 1 1
101 2 10 [100] 160.0 5.0 0.2 0.968 0.095 0.424 0.05 [100] 2000 0.005 0.98 1 1
102 2 10 [100] 160.0 5.0 0.4 0.806 0.255 1.675 0.05 [100] 2000 0.005 0.98 1 1
103 2 10 [100] 160.0 15.0 0.05 0.935 0.162 0.363 0.05 [100] 2000 0.005 0.98 1 1
104 2 10 [100] 160.0 15.0 0.2 0.935 0.146 0.415 0.05 [100] 2000 0.005 0.98 1 1
105 2 10 [100] 160.0 15.0 0.4 0.935 0.378 1.381 0.05 [100] 2000 0.005 0.98 1 1
106 2 10 [100] 160.0 20.0 0.05 0.968 0.318 0.635 0.05 [100] 2000 0.005 0.98 1 1
107 2 10 [100] 160.0 20.0 0.2 0.903 0.155 0.553 0.05 [100] 2000 0.005 0.98 1 1
108 2 10 [100] 160.0 20.0 0.4 0.935 0.537 1.832 0.05 [100] 2000 0.005 0.98 1 1
109 2 20 [50] 160.0 5.0 0.05 0.935 0.097 0.363 0.05 [50] 2000 0.005 0.98 1 1
110 2 20 [50] 160.0 5.0 0.2 0.839 0.137 0.64 0.05 [50] 2000 0.005 0.98 1 1
111 2 20 [50] 160.0 5.0 0.4 0.742 0.176 1.484 0.05 [50] 2000 0.005 0.98 1 1
112 2 20 [50] 160.0 15.0 0.05 0.968 0.132 0.358 0.05 [50] 2000 0.005 0.98 1 1
113 2 20 [50] 160.0 15.0 0.2 0.935 0.134 0.46 0.05 [50] 2000 0.005 0.98 1 1
114 2 20 [50] 160.0 15.0 0.4 0.645 0.181 1.889 0.05 [50] 2000 0.005 0.98 1 1
115 2 20 [50] 160.0 20.0 0.05 0.935 0.131 0.778 0.05 [50] 2000 0.005 0.98 1 1
116 2 20 [50] 160.0 20.0 0.2 0.871 0.141 0.646 0.05 [50] 2000 0.005 0.98 1 1
117 2 20 [50] 160.0 20.0 0.4 0.839 0.365 1.877 0.05 [50] 2000 0.005 0.98 1 1
118 2 20 [75] 160.0 5.0 0.05 0.903 0.09 0.48 0.05 [75] 2000 0.005 0.98 1 1
119 2 20 [75] 160.0 5.0 0.2 0.774 0.073 0.49 0.05 [75] 2000 0.005 0.98 1 1
120 2 20 [75] 160.0 5.0 0.4 0.839 0.177 1.145 0.05 [75] 2000 0.005 0.98 1 1
121 2 20 [75] 160.0 15.0 0.05 0.968 0.145 0.593 0.05 [75] 2000 0.005 0.98 1 1
122 2 20 [75] 160.0 15.0 0.2 0.935 0.149 0.461 0.05 [75] 2000 0.005 0.98 1 1
123 2 20 [75] 160.0 15.0 0.4 1.0 0.3 0.851 0.05 [75] 2000 0.005 0.98 1 1
124 2 20 [75] 160.0 20.0 0.05 0.871 0.121 0.456 0.05 [75] 2000 0.005 0.98 1 1
125 2 20 [75] 160.0 20.0 0.2 0.935 0.18 0.662 0.05 [75] 2000 0.005 0.98 1 1
126 2 20 [75] 160.0 20.0 0.4 0.968 0.392 1.359 0.05 [75] 2000 0.005 0.98 1 1
127 2 20 [100] 160.0 5.0 0.05 0.871 0.093 0.476 0.05 [100] 2000 0.005 0.98 1 1
128 2 20 [100] 160.0 5.0 0.2 0.903 0.076 0.304 0.05 [100] 2000 0.005 0.98 1 1
129 2 20 [100] 160.0 5.0 0.4 0.677 0.16 2.231 0.05 [100] 2000 0.005 0.98 1 1
130 2 20 [100] 160.0 15.0 0.05 1.0 0.202 0.505 0.05 [100] 2000 0.005 0.98 1 1
131 2 20 [100] 160.0 15.0 0.2 0.935 0.121 0.425 0.05 [100] 2000 0.005 0.98 1 1
132 2 20 [100] 160.0 15.0 0.4 0.645 0.233 2.865 0.05 [100] 2000 0.005 0.98 1 1
133 2 20 [100] 160.0 20.0 0.05 1.0 0.219 0.43 0.05 [100] 2000 0.005 0.98 1 1
134 2 20 [100] 160.0 20.0 0.2 1.0 0.232 0.985 0.05 [100] 2000 0.005 0.98 1 1
135 2 20 [100] 160.0 20.0 0.4 0.742 0.227 2.409 0.05 [100] 2000 0.005 0.98 1 1
136 2 30 [50] 160.0 5.0 0.05 0.839 0.102 0.756 0.05 [50] 2000 0.005 0.98 1 1
137 2 30 [50] 160.0 5.0 0.2 0.871 0.087 0.532 0.05 [50] 2000 0.005 0.98 1 1
138 2 30 [50] 160.0 5.0 0.4 0.839 0.201 1.385 0.05 [50] 2000 0.005 0.98 1 1
139 2 30 [50] 160.0 15.0 0.05 1.0 0.126 0.466 0.05 [50] 2000 0.005 0.98 1 1
140 2 30 [50] 160.0 15.0 0.2 0.839 0.107 0.533 0.05 [50] 2000 0.005 0.98 1 1
141 2 30 [50] 160.0 15.0 0.4 0.903 0.352 2.542 0.05 [50] 2000 0.005 0.98 1 1
142 2 30 [50] 160.0 20.0 0.05 1.0 0.132 0.343 0.05 [50] 2000 0.005 0.98 1 1
143 2 30 [50] 160.0 20.0 0.2 0.871 0.149 0.665 0.05 [50] 2000 0.005 0.98 1 1
144 2 30 [50] 160.0 20.0 0.4 0.935 0.363 1.913 0.05 [50] 2000 0.005 0.98 1 1
145 2 30 [75] 160.0 5.0 0.05 0.871 0.102 0.904 0.05 [75] 2000 0.005 0.98 1 1
146 2 30 [75] 160.0 5.0 0.2 0.903 0.101 0.626 0.05 [75] 2000 0.005 0.98 1 1
147 2 30 [75] 160.0 5.0 0.4 0.71 0.181 1.076 0.05 [75] 2000 0.005 0.98 1 1
148 2 30 [75] 160.0 15.0 0.05 1.0 0.19 0.455 0.05 [75] 2000 0.005 0.98 1 1
149 2 30 [75] 160.0 15.0 0.2 0.871 0.096 0.543 0.05 [75] 2000 0.005 0.98 1 1
150 2 30 [75] 160.0 15.0 0.4 0.871 0.293 1.024 0.05 [75] 2000 0.005 0.98 1 1
151 2 30 [75] 160.0 20.0 0.05 1.0 0.207 0.593 0.05 [75] 2000 0.005 0.98 1 1
152 2 30 [75] 160.0 20.0 0.2 0.968 0.13 0.546 0.05 [75] 2000 0.005 0.98 1 1
153 2 30 [75] 160.0 20.0 0.4 0.935 0.383 1.756 0.05 [75] 2000 0.005 0.98 1 1
154 2 30 [100] 160.0 5.0 0.05 0.871 0.075 0.636 0.05 [100] 2000 0.005 0.98 1 1
155 2 30 [100] 160.0 5.0 0.2 0.839 0.097 0.415 0.05 [100] 2000 0.005 0.98 1 1
156 2 30 [100] 160.0 5.0 0.4 0.903 0.196 2.123 0.05 [100] 2000 0.005 0.98 1 1
157 2 30 [100] 160.0 15.0 0.05 0.871 0.115 0.706 0.05 [100] 2000 0.005 0.98 1 1
158 2 30 [100] 160.0 15.0 0.2 0.968 0.164 0.631 0.05 [100] 2000 0.005 0.98 1 1
159 2 30 [100] 160.0 15.0 0.4 0.774 0.33 2.6 0.05 [100] 2000 0.005 0.98 1 1
160 2 30 [100] 160.0 20.0 0.05 0.968 0.153 0.375 0.05 [100] 2000 0.005 0.98 1 1
161 2 30 [100] 160.0 20.0 0.2 0.935 0.153 0.587 0.05 [100] 2000 0.005 0.98 1 1
162 2 30 [100] 160.0 20.0 0.4 0.839 0.35 2.797 0.05 [100] 2000 0.005 0.98 1 1
163 3 10 [50] 160.0 5.0 0.05 0.903 0.106 0.873 0.05 [50] 2000 0.005 0.98 1 1
164 3 10 [50] 160.0 5.0 0.2 0.806 0.102 0.873 0.05 [50] 2000 0.005 0.98 1 1
165 3 10 [50] 160.0 5.0 0.4 0.71 0.163 1.737 0.05 [50] 2000 0.005 0.98 1 1
166 3 10 [50] 160.0 15.0 0.05 0.903 0.147 1.083 0.05 [50] 2000 0.005 0.98 1 1
167 3 10 [50] 160.0 15.0 0.2 0.871 0.154 1.157 0.05 [50] 2000 0.005 0.98 1 1
168 3 10 [50] 160.0 15.0 0.4 0.774 0.284 2.471 0.05 [50] 2000 0.005 0.98 1 1
169 3 10 [50] 160.0 20.0 0.05 0.903 0.164 1.265 0.05 [50] 2000 0.005 0.98 1 1
170 3 10 [50] 160.0 20.0 0.2 0.839 0.145 1.433 0.05 [50] 2000 0.005 0.98 1 1
171 3 10 [50] 160.0 20.0 0.4 0.871 0.379 2.579 0.05 [50] 2000 0.005 0.98 1 1
172 3 10 [75] 160.0 5.0 0.05 0.903 0.155 0.833 0.05 [75] 2000 0.005 0.98 1 1
